TSC_NAME	CHL.chlor_a	FLH.nflh	KD.Kd_490	PAR.par	PIC.pic	POC.poc	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC001	0.980143666267395	0.11842431873083115	0.09257222339510918	43.77583122253418	0.0006236369663383812	166.48324584960938	0.004625028930604458	0.004763528471812606	0.0050259174313396215	0.00477394531480968	0.0033232232090085745	0.002910417504608631	0.0026393894804641604	0.00038772299012634903	0.0003402231086511165	0.00038841729110572487	22.92131805419922
TSC003	0.1410638839006424	0.053577566519379616	0.03332499787211418	39.56255531311035	1.3636321455123834e-05	43.80271530151367	0.007083250442519784	0.006360028870403767	0.005865639308467507	0.004907362163066864	0.0020962507696822286	0.0015746953431516886	0.0013550844159908593	0.0001258617230632808	0.00015083431208040565	0.0001708066847641021	25.04361057281494
TSC005	0.0788731761276722	0.05081035755574703	0.028077776543796062	39.45219421386719	1.835864441090962e-05	34.55821990966797	0.010159667581319809	0.008794139139354229	0.007668194826692343	0.00612936238758266	0.002333639655262232	0.001733917510136962	0.0014758064062334597	0.0001371119506075047	0.00017219549044966698	0.00018836170056601986	26.04277801513672
TSC008	0.17174746841192245	0.06343167647719383	0.031116665340960026	24.071165084838867	1.241463360202033e-05	44.15544891357422	0.005533000687137246	0.0051861952524632215	0.005000223405659199	0.004219362046569586	0.0017412510933354497	0.0012895283289253712	0.0011272785486653447	2.722928002185654e-06	6.863966336823069e-05	0.00010508422928978689	19.968817710876465
TSC013	0.31133100390434265	0.08183890208601952	0.05018610879778862	16.665165901184082	2.005354872380849e-05	85.96932601928711	0.003261473262682557	0.0033007231540977955	0.003536778618581593	0.00331491744145751	0.00186008436139673	0.001457223144825548	0.001317278656642884	4.333438619141816e-05	0.00014697309961775318	0.0001860842530732043	16.513681411743164
TSC016	0.26499442756175995	0.07477444410324097	0.04625000059604645	19.408108711242676	1.8470299437467474e-05	76.82491683959961	0.003652723040431738	0.0037961399648338556	0.003929334110580385	0.003606584039516747	0.0019005847861990333	0.001483584230300039	0.0013063618680462241	4.1250863432651386e-05	0.0001274731184821576	0.00016422320913989097	18.61284637451172
TSC020	0.12442285194993019	0.07618404552340508	0.02938888780772686	19.803110122680664	1.2830624200432794e-05	39.02491569519043	0.007507306523621082	0.006680777994915843	0.00604716781526804	0.005050556268543005	0.0020013622706755996	0.001471556257456541	0.0012697787024080753	4.791768424183829e-05	0.00014183391249389388	0.00017902860417962074	20.256389617919922
TSC021	0.18161307275295258	0.06333486549556255	0.0320083312690258	32.862802505493164	1.0165178991883295e-05	48.54433822631836	0.005642556352540851	0.004969389643520117	0.004891139920800924	0.004300029017031193	0.001794945215806365	0.0013386676437221467	0.0011623339378274977	7.04452395439148e-05	0.0001413066784152761	0.00016997304919641465	24.72104263305664
TSC025	0.18677926808595657	0.06818222440779209	0.03500555455684662	36.887277603149414	1.00541446954594e-05	52.61935043334961	0.005687556695193052	0.005160667235031724	0.005093000363558531	0.004510973347350955	0.0019714729860424995	0.001491778704803437	0.0012893342063762248	0.0001026119316520635	0.00016444554057670757	0.00019280648120911792	25.685206413269043
TSC027	0.2849062383174896	0.08719389513134956	0.04728333465754986	36.573360443115234	1.1109746992588043e-05	79.15821838378906	0.0034780007554218173	0.0036140562733635306	0.00383663980755955	0.0035801671911031008	0.0018794731586240232	0.00147444533649832	0.0012919175787828863	0.00012513979891082272	0.0001890565690700896	0.00023291751858778298	26.67145824432373
