Samples	CHL.chlor_a	FLH.nflh	FLH.ipar	IOP.adg_unc_443	IOP.adg_443	IOP.aph_unc_443	IOP.aph_44	IOP.bbp_s	IOP.adg_s	bbp_unc_443	IOP.bbp_443	IOP.a_412	IOP.a_443	IOP.a_469	IOP.a_488	IOP.a_531	IOP.a_547	IOP.a_555	IOP.a_645	IOP.a_667	IOP.a_678	IOP.bb_412	IOP.bb_443	IOP.bb_469	IOP.bb_488	IOP.bb_531	IOP.bb_547	IOP.bb_555	IOP.bb_645	IOP.bb_667	IOP.bb_678	KD.Kd_490	NSST.sst	PAR.par	PIC.pic	POC.poc	RRS.aot_869	RRS.angstrom	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
S01_Z00	13.407693862915039	0.20473850518465042	0.0007491899887099862	0.031010045669972897	0.0941600650548935	0.04715806059539318		0.9262828528881073	0.017999999225139618		0.002369504247326404	0.23853205889463425	0.18440605700016022	0.13849204033613205	0.11425003781914711	0.08975806832313538	0.08839604631066322	0.08971007168292999	0.34831005334854126	0.47504404187202454	0.5052640736103058	0.005432003177702427	0.004511502804234624	0.003946504206396639	0.003617404028773308	0.0030543030006811023	0.0028917042072862387	0.002817502012476325	0.0022203042753972113	0.002119104319717735	0.002073704032227397	1.506623923778534	11.427199363708496	28.322117805480957	0.004752918379381299	1036.5999145507812	0.04434200003743172	0.9298560321331024	0.0002549206546973437	0.0005214408811298199	0.0007249211485031992	0.001159121049568057	0.001598960836417973	0.0015668407431803644	0.001466920890379697	0.0001238806544279214	7.712073465881986e-05	0.00020624056196538731	12.796699047088623
S02_Z00	8.786637783050537	0.1686951145529747	0.0007506280671805143	0.03523203730583191	0.10028404742479324	0.04947606194764376		0.9210141599178314	0.017999999225139618		0.0017686045030131936	0.2434600219130516	0.18373004347085953	0.13670004531741142	0.11226605996489525	0.0887240581214428	0.08753006160259247	0.08897606655955315	0.3468240797519684	0.4717600494623184	0.5016700476408005	0.004792703781276941	0.0039069028571248055	0.0033681041095405817	0.0030557039426639676	0.0025256031658500433	0.002374204690568149	0.0023051038151606917	0.0017585039022378623	0.0016684046131558716	0.0016275036032311618	0.9298720061779022	12.297000408172607	26.635437965393066	0.00015203833390842192	859.1238708496094	0.044237999245524406	0.9662440717220306	0.0003820405909209512	0.0005194408440729603	0.0005837209464516491	0.0009148411045316607	0.0011752807768061757	0.001120760862249881	0.001052800624165684	-1.3239308827905916e-05	-2.7559324507819838e-05	8.348084884346463e-05	13.363199234008789
S03_Z00	8.786637783050537	0.1686951145529747	0.0007506280671805143	0.03523203730583191	0.10028404742479324	0.04947606194764376		0.9210141599178314	0.017999999225139618		0.0017686045030131936	0.2434600219130516	0.18373004347085953	0.13670004531741142	0.11226605996489525	0.0887240581214428	0.08753006160259247	0.08897606655955315	0.3468240797519684	0.4717600494623184	0.5016700476408005	0.004792703781276941	0.0039069028571248055	0.0033681041095405817	0.0030557039426639676	0.0025256031658500433	0.002374204690568149	0.0023051038151606917	0.0017585039022378623	0.0016684046131558716	0.0016275036032311618	0.9298720061779022	12.297000408172607	26.635437965393066	0.00015203833390842192	859.1238708496094	0.044237999245524406	0.9662440717220306	0.0003820405909209512	0.0005194408440729603	0.0005837209464516491	0.0009148411045316607	0.0011752807768061757	0.001120760862249881	0.001052800624165684	-1.3239308827905916e-05	-2.7559324507819838e-05	8.348084884346463e-05	13.363199234008789
S04_Z00	8.152535438537598	0.15536710619926453	0.0007432199781760573	0.03527805395424366	0.0988860446959734	0.05675605498254299		0.862055778503418	0.017999999225139618		0.0022058042814023793	0.25590604543685913	0.1989840641617775	0.1493600532412529	0.12305405735969543	0.09519406035542488	0.09288007393479347	0.0936160609126091	0.3515540659427643	0.48143404722213745	0.5122620463371277	0.00524800387211144	0.004342803847976029	0.003788403468206525	0.003466402878984809	0.002916404278948903	0.002757904469035566	0.002686204039491713	0.0021091040689498186	0.002012503449805081	0.0019681029953062534	0.8597519993782043	12.418599128723145	26.674638748168945	5.991846410324797e-05	808.4438781738281	0.04400799982249737	0.9337060153484344	0.0006046009802957997	0.0006814406806370243	0.0007403205963782966	0.001089720957679674	0.0013894406147301197	0.0013271208736114204	0.001255400711670518	7.400095455523115e-05	3.776066159844049e-05	0.0001396809493598994	12.915299892425537
S05_Z00	1.8713411092758179	0.20000402629375458	0.0007686199969612062	0.009992060717195272	0.04379005916416645	0.019592080265283585		0.9589239358901978	0.017999999225139618		0.0037406027549877763	0.16706205159425735	0.1535760760307312	0.12309205159544945	0.10539604723453522	0.08580407500267029	0.08558206260204315	0.08720206096768379	0.3516000509262085	0.4836600422859192	0.5148840844631195	0.006928204093128443	0.005882504396140575	0.005225604400038719	0.004835603525862098	0.004149903077632189	0.003947204211726785	0.0038541037356480956	0.0030727034900337458	0.002935204189270735	0.0028712034691125154	0.15375600010156631	11.510499477386475	27.24475860595703	7.851749614928849e-05	215.73590087890625	0.05696199648082256	0.45996205508708954	0.002510400954633951	0.0022508406545966864	0.0021236811298877	0.002361560589633882	0.0024934407556429505	0.002323080785572529	0.002202881034463644	0.00045960098213981837	0.00043844073661603034	0.0005351608851924539	12.419599533081055
S06_Z00	2.809964656829834	0.37815889716148376	0.000619144004303962	0.023732051253318787	0.1247180700302124	0.028006081469357014		0.7047417759895325	0.017999999225139618		0.022740603424608707	0.26445605605840683	0.18172406405210495	0.12994005531072617	0.10470607504248619	0.0857580415904522	0.08518806472420692	0.08705806359648705	0.3416680544614792	0.460236057639122	0.4890180677175522	0.026688702404499054	0.02486940287053585	0.023625202476978302	0.022836701944470406	0.021331602707505226	0.02084910310804844	0.0206208024173975	0.018502702936530113	0.018081204034388065	0.017881003208458424	0.20479999482631683	11.355199813842773	24.29784107208252	0.06725243292748928	408.6278839111328	0.0694659948348999	0.2777840746566653	0.009413001593202353	0.013652720488607883	0.016922240611165762	0.019360000267624855	0.022792999632656574	0.022584639489650726	0.021256480365991592	0.008609200827777386	0.007187361130490899	0.00683884066529572	13.263199806213379
S07_Z00	2.8601176738739014	0.35162021219730377	0.0006227840203791857	0.02272205427289009	0.11672206968069077	0.03001008089631796		0.7554167807102203	0.017999999225139618		0.020290403626859188	0.25452205538749695	0.1789720579981804	0.12938405945897102	0.10485605895519257	0.08537404984235764	0.08485406637191772	0.08674006536602974	0.3423880785703659	0.462040051817894	0.49100005626678467	0.02409740351140499	0.022419201210141182	0.02128030266612768	0.02056210394948721	0.019198903813958168	0.018764004111289978	0.01855860184878111	0.01666210452094674	0.01628660410642624	0.016108304262161255	0.207519993185997	11.817800045013428	26.03699779510498	0.06509187817573547	423.95989990234375	0.06212600041180849	0.3211860414594412	0.00897948071360588	0.01320564141497016	0.01650908077135682	0.018964041024446487	0.022352642379701138	0.02213316038250923	0.020820682868361473	0.008334120269864798	0.006958200829103589	0.006626320770010352	13.31999921798706
S08_Z00	6.561603546142578	0.1570943146944046	0.0006621899665333331	0.029020056128501892	0.06551006808876991	0.05365806445479393		0.8942739069461823	0.017999999225139618		0.0022186044370755553	0.1938120648264885	0.16269207000732422	0.12643005698919296	0.10641805455088615	0.08545807003974915	0.08507207036018372	0.08679407462477684	0.34873805940151215	0.47702404856681824	0.5075180530548096	0.005254403920844197	0.004345703637227416	0.003789104288443923	0.003465403337031603	0.0029108031885698438	0.0027503048768267035	0.0026779043255373836	0.0020921037066727877	0.001993304817005992	0.0019484030781313777	0.6307799816131592	13.22920036315918	24.9564790725708	0.00040223821997642517	1282.3399658203125	0.06380799598991871	0.7273000627756119	0.0002723606739891693	0.0004326405323809013	0.0007092008891049773	0.0012642410583794117	0.0015966809005476534	0.001481961167883128	0.0013485205709002912	2.072081042570062e-05	2.1120831661392003e-05	0.0001328809594269842	13.969200611114502
S09_Z00	10.080648422241211	0.3879033178091049	0.0007056060712784529	0.07019605487585068	0.12363206222653389	0.17249806225299835		0.6199421882629395	0.017999999225139618		0.005123802926391363	0.4015340507030487	0.333216056227684	0.25260207056999207	0.20828405022621155	0.15252207219600677	0.14156407117843628	0.13625406846404076	0.38854604959487915	0.55497607588768	0.5930680930614471	0.00822980422526598	0.007255404023453593	0.006647404050454497	0.006288804113864899	0.005661404225975275	0.005477103404700756	0.005392105085775256	0.004683104110881686	0.004558404441922903	0.004500002833083272	1.0401600003242493	13.648699760437012	36.762197494506836	0.00016499772027600557	991.7598876953125	0.05220800079405308	0.8705839812755585	0.0012557607842609286	0.0010124008404091	0.0010224408470094204	0.001370960962958634	0.001843960548285395	0.0018665611278265715	0.001810360699892044	0.0002421607860014774	0.00021168098464841023	0.0004564008122542873	14.223199844360352
S10_Z00	11.805864810943604	0.2814391106367111	0.0006966800428926945	0.05519206449389458	0.10592005401849747	0.12005206197500229		0.6788734197616577	0.017999999225139618		0.004166403086856008	0.3053000420331955	0.2448180615901947	0.18462805449962616	0.15234605967998505	0.1163000725209713	0.11099806800484657	0.10952606797218323	0.36537203192710876	0.5089020431041718	0.5424820184707642	0.007261103484779596	0.006292404606938362	0.005689403275027871	0.005334203597158194	0.004714303882792592	0.004532304592430592	0.004448503954336047	0.003753105062060058	0.0036309045972302556	0.003574104397557676	1.3097599744796753	15.128300189971924	35.61447715759277	0.00015983760749804787	1053.5997924804688	0.05051199533045292	0.887660026550293	0.000677280651871115	0.0007446407689712942	0.0008908805903047323	0.0013542808592319489	0.0018687609699554741	0.00188788102241233	0.0017994811059907079	3.520093741826713e-05	9.841025132573122e-06	0.00019864090427290648	15.786299228668213
