samples	CHL.chlor_a	FLH.nflh	KD.Kd_490	PAR.par	PIC.pic	POC.poc	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC001	0.465868309140205	0.0831138972579437	0.0597333318243424	43.6889989640331	0.000247108890410649	100.811017245882	0.00478355641477416	0.00480122308139623	0.00490766752557192	0.00450855641546847	0.00264911197571867	0.00216633419915979	0.0019167786442343	0.000158667537561996	0.000159000870894488	0.000152778648687975	22.8708328221304
TSC003	0.140172262158659	0.0518622307119788	0.0331555547179758	39.4033320938082	1.17755576714747e-05	43.5776830597056	0.00708211196452642	0.00637133418854319	0.00587211196758138	0.00491400085888927	0.002090778643795	0.00156966753399956	0.00135433420120989	0.000127556426529433	0.000152556426466314	0.000173889759745786	25.1952772146194
TSC005	0.0779692129128509	0.0495577862764347	0.0279999992926605	39.6896654407416	1.77755576563262e-05	34.411016256445	0.0101916675122311	0.00883111196011062	0.00769555640742207	0.00614655641133292	0.0023342230876248	0.00173488975580464	0.00147755642312101	0.000139667537609967	0.000172889759748311	0.000187889759710439	26.117777194
TSC008	0.166838377714157	0.0588275084628549	0.0306777770027919	24.1331091462893	1.21088910039665e-05	43.1221274973618	0.00565211196813683	0.0052817786357385	0.00507811196958604	0.00427044530495853	0.00175044531132092	0.00129400086802889	0.00113133420177292	1.07786490464908e-05	7.33342044441088e-05	0.00012311198209621	19.9533328873416
TSC013	0.299173656437132	0.0764933417279584	0.0495222209711857	16.4994421170429	1.07755576739995e-05	85.9887948027915	0.00333433419621088	0.00332044530735705	0.00354633419567563	0.00332377864068197	0.00184866753329516	0.0014430008676527	0.00130500086800112	5.03342045021782e-05	0.00015555642645874	0.000188445315264592	16.5405551858453
TSC016	0.257223191360633	0.0699152861978089	0.0455111099614037	19.4574422575404	1.17755576714747e-05	72.8554612737563	0.00379033419505959	0.00388788975036884	0.00398133419457736	0.00363322308434514	0.00189222308874074	0.00147344531202028	0.0012947786458047	4.37786489631738e-05	0.000129445315413553	0.000160556426446116	18.7213884704332
TSC020	0.125403938608037	0.0772536195027998	0.0295222214764282	19.9113311679879	1.18866687823053e-05	39.2554607730773	0.00751900085231227	0.00665577863226948	0.00602788974496586	0.00504633419188849	0.00200666753289624	0.00147500086757191	0.00127377864585772	4.86675378397194e-05	0.000143334204267376	0.000183889759720538	20.1749995490536
TSC021	0.178195424377918	0.063186119557132	0.0313444436526172	32.879109561702	1.03311132306771e-05	47.066572000583	0.00575122307899771	0.00504822308077261	0.00495466752545326	0.00434222308255509	0.00179400086676651	0.00133533420125787	0.00115844531281558	7.05564266733442e-05	0.000141334204272425	0.00017077864864253	24.7344438915865
TSC025	0.187803663313389	0.0697547306428735	0.0351333324457907	37.0272208698378	1.0108891009016e-05	52.6999054178596	0.00566577863476899	0.00514188974720279	0.00507455641403946	0.00449900085993704	0.00197111197743046	0.001491334200864	0.0012882230902657	0.000101445315484246	0.000164223093103525	0.000193223093030307	25.7352772025495
TSC027	0.290871206257078	0.0864100083563244	0.0480999987848918	36.5988875161598	9.9977798981854e-06	80.3665724967917	0.00344688975148226	0.00358555641779882	0.0038205564172055	0.00357933419559231	0.0019007786442747	0.00149433420085643	0.00131311197909175	0.000127334204307772	0.000190778648592034	0.000238889759581677	26.6733327371379
TSC031	0.329437464475632	0.117411397125478	0.0529999986611074	37.8368875749616	1.55533354397145e-05	111.099906288087	0.00243766753180807	0.00295233419717533	0.00328044530745804	0.0031313341967234	0.00176455642239641	0.00141633420105336	0.00122166753487818	0.000154445315350434	0.000205445315221671	0.000252667537324669	27.1594438373836
TSC036	0.698723157246907	0.108911397158307	0.0805888868530423	51.4614437776488	2.33311131978553e-05	166.066573773821	0.00140600086774612	0.00226588975446399	0.00272200086442353	0.00284211197523139	0.00210466753264882	0.00175466753353248	0.00154377864517604	0.000158889759783657	0.000232778648485995	0.000277778648372381	26.4680549639484
TSC045	0.498336987362968	0.0947447305463558	0.0667888872016596	53.7068883287462	1.277555766895e-05	125.01101760649	0.00236733419865232	0.0029511119749562	0.00336800086279254	0.00338477864052796	0.0022684453100131	0.00183800086665542	0.00159500086726894	0.000176445315294889	0.000236223092921743	0.00028522309279803	26.7055549586399
TSC056	0.203698192205694	0.0588700084626907	0.0377111101584483	54.1383327936831	9.9977798981854e-06	58.5665721719464	0.00486022308124726	0.00475600085928818	0.00477077863702865	0.00435666752696307	0.00198966753293917	0.00152300086745072	0.00125466753479486	0.000184334204163861	0.000216889759637221	0.000232000870710181	28.4758326968489
TSC060	0.107034602512916	0.0490950085004442	0.0334666658212276	51.4256659981717	3.83311131599839e-05	42.8443497154448	0.0098214452909436	0.00798477862891408	0.00707011196455672	0.00597266752288306	0.00249611197610496	0.00191911197756175	0.00156766753400461	0.000290556426117898	0.000209556426322403	0.000216889759637221	30.7308326464457
TSC062	0.0859567771355311	0.0353769529978712	0.029199999262346	52.63977716695	2.13311132029048e-05	36.1999051719904	0.0112937786205597	0.00847566751656359	0.00731544529727065	0.00600666752279722	0.00230344530992473	0.00174766753355016	0.00143200086768047	0.000278223092815703	0.000178667537511501	0.000189778648594559	30.9830548630303
TSC065	0.0732751261028979	0.0480325085045479	0.028277777063421	49.7031103607992	3.39977798375912e-05	34.688794038362	0.0122692230625413	0.00920177862584145	0.00784077862927764	0.00638511196628618	0.00242544530961671	0.00181844531114924	0.00149377864530228	0.000267445315065136	0.000192556426365324	0.000208556426324928	29.58611044981
TSC068	0.0631994315319591	0.0697263973096496	0.02455555493523	39.6498876610745	1.67755576588509e-05	29.7887939653463	0.013049223060572	0.0095954452915142	0.00810866751749018	0.00639311196626598	0.00219655642130571	0.00161600086721592	0.00135766753453481	0.000192778648586985	0.000166556426430967	0.000189000870818745	27.5294438291134
TSC070	0.179826554324892	0.0525186195983325	0.036066665755546	39.341220979747	1.04422243415077e-05	51.2887942857213	0.00684533418734645	0.00539111196879579	0.00512166752503163	0.00455200085980323	0.00201500086620854	0.00154022308962946	0.00133144531237879	0.000197334204131039	0.000166556426430967	0.000183778648609708	27.5538882730115
TSC071	0.227530789872011	0.0717663973017706	0.0416333322815869	37.5491097835151	0.000487553334248029	68.1665723149975	0.00736366751937112	0.00640033418846997	0.00676911196531667	0.0065632230769476	0.00329800086296927	0.00254588975375706	0.00217333419914212	0.000247667537337293	0.000201778648564262	0.000463778647902776	27.1841660590532
TSC073	0.175331065224277	0.0568536195815897	0.0340888880277311	33.9509985015029	1.09977798956606e-05	49.2554609220889	0.00671511196545301	0.00543044530202981	0.00512855641390312	0.00462011197074238	0.00200544531067711	0.00150500086749616	0.00131800086796829	0.000115111982116408	0.000134111982068437	0.000150778648693025	24.2208327919555
TSC078	0.26683268447717	0.122081674885218	0.0496999987444724	26.6656648221348	1.39977798880864e-05	73.0999057218432	0.00578555641224436	0.00440977863794008	0.00423088974950285	0.00404322308330999	0.00223733419898053	0.0017511119779859	0.0015574453118082	0.00014600087092731	0.000206111981886655	0.000273223092828327	21.7227772922359
TSC085	0.364755814274152	0.164817785831272	0.0573666652174628	19.7887756066112	1.87755576538014e-05	90.1665726428231	0.00463788974847527	0.00328666752966456	0.00325544530752116	0.00330177864073751	0.00201833419953346	0.00161111197833937	0.00146522308981882	7.78897599881626e-05	0.000208111981881605	0.000294556426107799	21.0288884188566
TSC089	0.491379727919896	0.218141118958657	0.0685777760453574	21.011886775817	1.98866687621072e-05	186.433240743975	0.00445722308226474	0.00295444530828111	0.00291355641949546	0.00310777864122732	0.00216400086583235	0.00173788975579707	0.00159455642282561	0.000128111982083586	0.000261223092858624	0.000387556425872996	15.4888885426852
TSC092	5.44370073742337	0.444897506971756	0.457644432883373	41.0063321699466	0.000310664445805742	825.033250259856	0.00131866753463328	0.00136177864563554	0.00164066753382031	0.00198011197740774	0.00252344530936928	0.0024795564205912	0.00242422308739757	0.000553667536564717	0.000605000869768446	0.000875556424640915	14.7877774472452
TSC102	0.166402528683345	0.152157508102391	0.0387999990198296	36.7691097464671	1.76644465454956e-05	51.5332387338082	0.00745055640804064	0.00596800085622817	0.0054256675242641	0.00480044530362041	0.00228900086551675	0.00171833420029088	0.00147222308980114	0.000145111982040665	0.000199667537458481	0.000286223092795505	16.5513885189365
TSC110	0.186174637741513	0.107036674943326	0.0401555545411409	40.4927765899985	1.84422243213097e-05	55.2665721227725	0.0067506675209188	0.00557977863498612	0.00518488974709423	0.00464400085957095	0.00226666753223981	0.00171255642252769	0.00144366753431768	0.000129334204302722	0.000173778648634955	0.000219445315186325	20.2719439913312
