TSC_NAME	CHL.chlor_a	FLH.nflh	KD.Kd_490	PAR.par	PIC.pic	POC.poc	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC001	0.6770102977752686	0.09869421273469925	0.07269199565052986	43.768198013305664	0.000460158204077743	128.83591842651367	0.004851400852203369	0.004892080323770642	0.005059440853074193	0.004713440779596567	0.002998641226440668	0.0025387207278981805	0.0022744007874280214	0.0002573207675595768	0.00023612081713508815	0.0002782406663754955	22.873998641967773
TSC003	0.14036139845848083	0.05389069952070713	0.0331839993596077	39.572120666503906	1.2637376585189486e-05	43.61993217468262	0.007091040490195155	0.006370040820911527	0.005871640518307686	0.004911640891805291	0.00209228100720793	0.0015709607396274805	0.001353121013380587	0.00012672073717112653	0.00015136093134060502	0.00017132118227891624	25.10640048980713
TSC005	0.07859596237540245	0.05024760775268078	0.02804000023752451	39.47975540161133	1.815721361708711e-05	34.515899658203125	0.010160560254007578	0.008804320357739925	0.007676681037992239	0.006135120987892151	0.002333720796741545	0.0017339207115583122	0.001476160774473101	0.00013764083269052207	0.00017248101357836276	0.00018848046602215618	26.044797897338867
TSC008	0.1696706935763359	0.061581509187817574	0.03102399967610836	24.10211753845215	1.259788859897526e-05	43.81988334655762	0.005596640752628446	0.005236880853772163	0.005039841402322054	0.004247000440955162	0.0017508409800939262	0.0012956405407749116	0.0011329208500683308	4.840568180952687e-06	7.06407427060185e-05	0.00010616101644700393	19.986799240112305
TSC013	0.30646729469299316	0.08044131845235825	0.049879997968673706	16.663118362426758	1.6717910511943046e-05	84.38387680053711	0.00329812103882432	0.003320440766401589	0.0035477211931720376	0.003321400727145374	0.001856121001765132	0.0014524409198202193	0.0013130008592270315	4.6841054881952005e-05	0.00015032089868327603	0.00018828086467692629	16.517199516296387
TSC016	0.2630729228258133	0.07342880219221115	0.04615199752151966	19.423118591308594	1.7478167592344107e-05	76.70391464233398	0.0036987208295613527	0.003831041045486927	0.003955560969188809	0.0036257609026506543	0.0019059611950069666	0.0014879208756610751	0.0013091207947582006	4.604101013683248e-05	0.00013048082837485708	0.00016624115232843906	18.668498992919922
TSC020	0.1249208003282547	0.07700901478528976	0.02937199827283621	19.899558067321777	1.2797266208508518e-05	39.035926818847656	0.007496120408177376	0.006659161066636443	0.006028400966897607	0.005038760602474213	0.001996920967940241	0.001467200752813369	0.0012659209896810353	4.752091990667395e-05	0.0001417205530742649	0.00017956078227143735	20.2273006439209
TSC021	0.18205853551626205	0.06352970190346241	0.031996000558137894	32.8465576171875	1.0198503787250957e-05	48.5199031829834	0.005631600972265005	0.004958000732585788	0.004884440917521715	0.00429544085636735	0.001793120929505676	0.0013374011032283306	0.0011612806119956076	7.024087244644761e-05	0.00014152117364574224	0.0001702406952972524	24.747000694274902
TSC025	0.18635736405849457	0.06839680299162865	0.03492800146341324	36.93924140930176	1.0078549166792072e-05	52.5199031829834	0.005703920731320977	0.005171280354261398	0.005103840492665768	0.004519880982115865	0.001972760888747871	0.0014923608396202326	0.0012890809448435903	0.00010224089055554941	0.0001644010844756849	0.00019296109530841932	25.6943998336792
TSC027	0.28618893027305603	0.08655960112810135	0.04745599627494812	36.594717025756836	1.0038614163931925e-05	79.1358871459961	0.0034878005972132087	0.0036192004336044192	0.0038438806077465415	0.0035879607312381268	0.0018877207767218351	0.0014814810128882527	0.0012991209514439106	0.0001267208208446391	0.00018952093523694202	0.00023332081764237955	26.669599533081055
TSC031	0.3343988060951233	0.11772911250591278	0.05345600098371506	37.78156089782715	1.3638287782669067e-05	111.42789077758789	0.00245168071705848	0.0029495207127183676	0.0032750408863648772	0.00312608084641397	0.001768760965205729	0.001419240958057344	0.0012244806275703013	0.00015492089005419984	0.00020800121274078265	0.00026488088769838214	27.162097930908203
TSC036	0.7130710184574127	0.10960649698972702	0.08142000064253807	51.430877685546875	2.295762260473566e-05	170.80789184570312	0.0013978808419778943	0.0022525208769366145	0.0027077210834249854	0.002833200851455331	0.0021050407085567713	0.0017550409538671374	0.0015436807880178094	0.00016192079056054354	0.0002350808645132929	0.00028432100953068584	26.461400032043457
TSC045	0.5103031247854233	0.0954931229352951	0.06757599487900734	53.599679946899414	1.2237727787578478e-05	134.92391967773438	0.0023289608070626855	0.0029144013533368707	0.0033356406493112445	0.003359080874361098	0.0022626009304076433	0.0018347610021010041	0.0015928010107018054	0.00017520069377496839	0.00023608095943927765	0.0002794808096950874	26.715998649597168
TSC056	0.20020896196365356	0.05736550688743591	0.03747999854385853	53.90971755981445	1.0478645435796352e-05	57.635908126831055	0.005069641163572669	0.00489064073190093	0.0048810807056725025	0.004441120894625783	0.0020203208550810814	0.0015471211518160999	0.0012740809470415115	0.0001853206049418077	0.00021744079276686534	0.0002323605804122053	28.48219871520996
