TSC_NAME	CHL.chlor_a	FLH.nflh	FLH.ipar	IOP.adg_unc_443	IOP.adg_443	IOP.aph_unc_443	IOP.aph_44	IOP.bbp_s	IOP.adg_s	bbp_unc_443	IOP.bbp_443	IOP.a_412	IOP.a_443	IOP.a_469	IOP.a_488	IOP.a_531	IOP.a_547	IOP.a_555	IOP.a_645	IOP.a_667	IOP.a_678	IOP.bb_412	IOP.bb_443	IOP.bb_469	IOP.bb_488	IOP.bb_531	IOP.bb_547	IOP.bb_555	IOP.bb_645	IOP.bb_667	IOP.bb_678	KD.Kd_490	NSST.sst	PAR.par	PIC.pic	POC.poc	RRS.aot_869	RRS.angstrom	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC001	0.5699775815010071	0.09069899842143059	0.0016251500346697867	0.002691715955734253	0.03732089325785637	0.003283381462097168		1.5981687903404236	0.018000001087784767		0.0029885470867156982	0.08291257545351982	0.06118338368833065	0.04808755777776241	0.04302087426185608	0.05583338811993599	0.0622167382389307	0.0672292411327362	0.33077090978622437	0.4411001056432724	0.46856673061847687	0.006185211706906557	0.005127505864948034	0.004467501770704985	0.004078545956872404	0.0034020865568891168	0.0032045878469944	0.0031131288269534707	0.002371670678257942	0.0022433362901210785	0.0021850026678293943	0.06661666557192802	22.70229148864746	43.756832122802734	0.00032433152955491096	114.32490921020508	0.09607499837875366	1.3410625457763672	0.004635917488485575	0.004719750257208943	0.004884583875536919	0.004540667636319995	0.0028112513246014714	0.002345167798921466	0.002090084133669734	0.00021033407392678782	0.0001999173910007812	0.000239333909121342	22.917499542236328
TSC003	0.1396595612168312	0.052565813064575195	0.001638100016862154	0.0003001689910888672	0.0122292242012918	0.0006167491374071687		1.9412979483604431	0.017999999225139618		0.0012087536160834134	0.031358400359749794	0.026895880699157715	0.024775068275630474	0.025466740131378174	0.047729263082146645	0.056091755628585815	0.0619584321975708	0.3279667794704437	0.4362541735172272	0.46340006589889526	0.004315211204811931	0.00335208629257977	0.002763754455372691	0.0024235466262325644	0.0018466704641468823	0.0016827124054543674	0.0016081295907497406	0.0010254215449094772	0.0009312555193901062	0.0008893789199646562	0.03293333388864994	24.24250030517578	39.520084381103516	1.1664194516924908e-05	43.32493019104004	0.1223125085234642	1.1487709283828735	0.007073667831718922	0.006366583984345198	0.005865750601515174	0.004908001283183694	0.002080084173940122	0.0015606677043251693	0.0013450009864754975	0.00012625071030925028	0.00015183460345724598	0.0001710844226181507	25.21125030517578
TSC005	0.07867086678743362	0.050462087616324425	0.0016188417794182897	0.00020003318786621094	0.008391728159040213	0.00042087832116521895		1.9754352569580078	0.017999999225139618		0.0014552101492881775	0.0229042274877429	0.020770867355167866	0.02040840219706297	0.02214587666094303	0.0464417040348053	0.05515419505536556	0.061162590980529785	0.3275001049041748	0.4353916794061661	0.46250420808792114	0.004609792726114392	0.0036029182374477386	0.002985213533975184	0.0026266705244779587	0.0020152106881141663	0.001840837299823761	0.0017616711556911469	0.0011362538789398968	0.0010331267258152366	0.0009879209101200104	0.028033333830535412	25.367916107177734	39.562416076660156	1.7413869954907568e-05	34.49155616760254	0.12956666573882103	1.129887580871582	0.010145000647753477	0.00879550026729703	0.007670000893995166	0.006129917921498418	0.002330500981770456	0.0017317505553364754	0.0014747511595487595	0.00013883396604796872	0.00017191795632243156	0.00018766739958664402	26.06416606903076
TSC008	0.16545343399047852	0.05913916416466236	0.0011368374689482152	0.00058337053633295	0.014979253057390451	0.0011333724251016974		1.9428669810295105	0.018000000156462193		0.000840628519654274	0.03542091324925423	0.02855421043932438	0.025512555614113808	0.025900046341121197	0.048150042071938515	0.056425053626298904	0.06225006841123104	0.3279251158237457	0.4360458701848984	0.4631917029619217	0.003915420500561595	0.003000838099978864	0.002447711885906756	0.0021302116801962256	0.0015954201226122677	0.0014450028538703918	0.0013772963429801166	0.0008520881528966129	0.0007685460150241852	0.0007302121666725725	0.030808333307504654	19.691250801086426	24.133580207824707	1.1748013548640301e-05	43.16660690307617	0.08627916499972343	0.8224583566188812	0.005688917124643922	0.005319417687132955	0.005104917800053954	0.004291250603273511	0.0017609175411053002	0.001304417266510427	0.0011417508940212429	2.208383057222818e-05	8.858430010150187e-05	0.00011966765305260196	19.982084274291992
TSC013	0.3016031086444855	0.07805874943733215	0.0009673875465523452	0.0019500554190017283	0.028270890936255455	0.0029792189598083496		1.7213886380195618	0.018000000156462193		0.0011781298671849072	0.06460424326360226	0.04963754676282406	0.04046255350112915	0.037316739559173584	0.05264590121805668	0.0597083754837513	0.06505420804023743	0.3296000808477402	0.439079225063324	0.46637919545173645	0.004307503579184413	0.00335833802819252	0.002780002192594111	0.0024456294486299157	0.001879587711300701	0.0017183367162942886	0.0016458382597193122	0.0010729208588600159	0.00098000283469446	0.0009385459416080266	0.04964999668300152	16.451873779296875	16.533246994018555	1.141459961218061e-05	85.14988327026367	0.04552500136196613	1.6966750025749207	0.0033405842259526253	0.003334751119837165	0.0035595846129581332	0.003333417233079672	0.0018556677969172597	0.0014499174430966377	0.0013108341954648495	4.983445160178235e-05	0.00015350089233834296	0.0001894175074994564	16.541040420532227
TSC016	0.26154524087905884	0.07060708850622177	0.0010490166605450213	0.0014375547762028873	0.02600422501564026	0.002141714037861675		1.7841095924377441	0.018000000156462193		0.0012491699308156967	0.05761255882680416	0.04338341951370239	0.03565007448196411	0.03348754718899727	0.05128752067685127	0.05875004269182682	0.06422922015190125	0.32886670529842377	0.43760836124420166	0.46482089161872864	0.004377504112198949	0.0034170864382758737	0.0028306288877502084	0.0024902131408452988	0.001913962245453149	0.0017502127448096871	0.0016762521117925644	0.0010906290262937546	0.00099521255469881	0.0009529193339403719	0.046149998903274536	18.49541664123535	19.396748542785645	1.6914990737859625e-05	74.9249038696289	0.08583332970738411	1.0931541323661804	0.0037755845114588737	0.003907334408722818	0.004014667589217424	0.0036722510121762753	0.0019280844717286527	0.0015065008774399757	0.0013244173605926335	4.691785716204322e-05	0.00012991732728551142	0.0001639178954064846	18.75812530517578
TSC020	0.12527703121304512	0.0779985599219799	0.0010537291527725756	0.0004292031080694869	0.011237541679292917	0.000979244738118723		1.9562196731567383	0.017999998293817043		0.0011027126165572554	0.029125064611434937	0.02523339819163084	0.023566722869873047	0.024541715160012245	0.04740004613995552	0.05585837364196777	0.061754196882247925	0.3278459459543228	0.4360208958387375	0.46317920088768005	0.0042383368127048016	0.003277919488027692	0.0026931297034025192	0.0023554209619760513	0.001785213127732277	0.0016229208558797836	0.0015497952699661255	0.0009789628384169191	0.0008868792501743883	0.000845838338136673	0.02944166772067547	19.934165954589844	19.9251651763916	1.1580375030462164e-05	39.16656494140625	0.07593333721160889	1.0234709084033966	0.00750350090675056	0.0066524166613817215	0.006025084061548114	0.005043084267526865	0.002001917629968375	0.0014709173701703548	0.0012691677547991276	4.791763331013499e-05	0.00014183375606080517	0.00018066773191094398	20.16249942779541
TSC021	0.18133544921875	0.0638460423797369	0.001332387502770871	0.0010583698749542236	0.014458417892456055	0.0021875600214116275		1.9198009967803955	0.017999999225139618		0.0010087527334690094	0.03702504374086857	0.03150006104260683	0.028183400630950928	0.028145899064838886	0.04868754744529724	0.056775063276290894	0.06253339722752571	0.32841676473617554	0.43709173798561096	0.4642958641052246	0.004134587245061994	0.0031891707330942154	0.002615213394165039	0.0022833384573459625	0.0017252129619009793	0.0015681267832405865	0.0014964627916924655	0.0009406302124261856	0.000851878896355629	0.0008114632219076157	0.03175833262503147	24.6381254196167	32.85482978820801	1.0248584203509381e-05	48.01654052734375	0.08242916315793991	0.8096084296703339	0.005660500843077898	0.004975334042683244	0.004899584222584963	0.0043039177544415	0.0017901675892062485	0.0013340844889171422	0.0011588339693844318	7.016755262156948e-05	0.000141667973366566	0.0001705838367342949	24.751041412353516
TSC025	0.18599452078342438	0.06939937733113766	0.0014156834222376347	0.0009417037363164127	0.016841690056025982	0.0017125507583841681		1.8937954306602478	0.018000001087784767		0.0012312531471252441	0.04062507674098015	0.03311256691813469	0.029008397832512856	0.028662562370300293	0.0490333940833807	0.05707088112831116	0.06278758123517036	0.32837922871112823	0.43691250681877136	0.46410422027111053	0.0043716710060834885	0.0034000029554590583	0.0028070876142010093	0.0024627124657854438	0.0018810443580150604	0.0017154216766357422	0.0016400031745433807	0.0010518779745325446	0.0009558374877087772	0.0009141700866166502	0.03486666642129421	25.70895767211914	37.04316329956055	1.008187746265321e-05	52.43320655822754	0.09772082790732384	0.7594709396362305	0.005706751253455877	0.005173917394131422	0.005104667041450739	0.0045216677244752645	0.001971417397726327	0.0014906672877259552	0.0012876673717983067	0.00010066743197967298	0.0001639175825403072	0.0001928346828208305	25.707918167114258
TSC027	0.2896859794855118	0.08705458045005798	0.001448154158424586	0.0014542341232299805	0.02775423787534237	0.0020125408773310483		1.7420665621757507	0.018000000156462193		0.0013014618307352066	0.06178755685687065	0.04660423658788204	0.03799588419497013	0.0353125836700201	0.051991742104291916	0.05925421975553036	0.06466255709528923	0.3291875720024109	0.4381959140300751	0.4654500037431717	0.00442667119204998	0.0034643784165382385	0.0028766710311174393	0.0025356311816722155	0.0019568789284676313	0.001792293624021113	0.0017172942752949893	0.001127295836340636	0.0010312528465874493	0.000988336862064898	0.047950003296136856	26.70312213897705	36.6336669921875	9.998679161071777e-06	80.12489700317383	0.10827083513140678	0.7515541613101959	0.0034653341863304377	0.0036034174263477325	0.003833667258732021	0.003589083906263113	0.001901417679619044	0.0014943342539481819	0.001312167674768716	0.00012841742864111438	0.00019100075587630272	0.0002355839460506104	26.665416717529297
