TSC_NAME	CHL.chlor_a	FLH.nflh	FLH.ipar	IOP.adg_unc_443	IOP.adg_443	IOP.aph_unc_443	IOP.aph_44	IOP.bbp_s	IOP.adg_s	bbp_unc_443	IOP.bbp_443	IOP.a_412	IOP.a_443	IOP.a_469	IOP.a_488	IOP.a_531	IOP.a_547	IOP.a_555	IOP.a_645	IOP.a_667	IOP.a_678	IOP.bb_412	IOP.bb_443	IOP.bb_469	IOP.bb_488	IOP.bb_531	IOP.bb_547	IOP.bb_555	IOP.bb_645	IOP.bb_667	IOP.bb_678	KD.Kd_490	NSST.sst	PAR.par	PIC.pic	POC.poc	RRS.aot_869	RRS.angstrom	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC001	0.6770102977752686	0.09869421273469925	0.00162659608758986	0.003360047237947583	0.04169805534183979	0.004042053245939314		1.5635883212089539	0.017999999225139618		0.003485304187051952	0.09199007228016853	0.06712805852293968	0.05209205113351345	0.04602804221212864	0.05739205703139305	0.06344606354832649	0.06829407438635826	0.3313520550727844	0.4421260505914688	0.46967002749443054	0.006696904543787241	0.005624203942716122	0.0049528032541275024	0.004555604187771678	0.00386210426222533	0.0036586037604138255	0.003564704325981438	0.0027939046267420053	0.0026593030197545886	0.0025980037171393633	0.07269199565052986	22.66759967803955	43.768198013305664	0.000460158204077743	128.83591842651367	0.09621800109744072	1.3328480124473572	0.004851400852203369	0.004892080323770642	0.005059440853074193	0.004713440779596567	0.002998641226440668	0.0025387207278981805	0.0022744007874280214	0.0002573207675595768	0.00023612081713508815	0.0002782406663754955	22.873998641967773
TSC003	0.14036139845848083	0.05389069952070713	0.0016357420245185494	0.0003041648888029158	0.012234048452228308	0.0006380701088346541		1.93986976146698	0.017999999225139618		0.0012227028491906822	0.031458063051104546	0.027036046609282494	0.024886074475944042	0.025572066195309162	0.04774808883666992	0.056106086820364	0.061970099806785583	0.3279900848865509	0.4362860471010208	0.46344804763793945	0.0043313035275787115	0.0033659040927886963	0.0027765039121732116	0.002435303875245154	0.0018565034843049943	0.0016922050854191184	0.001617603877093643	0.0010325041366741061	0.0009379047260154039	0.0008957034442573786	0.0331839993596077	24.21659755706787	39.572120666503906	1.2637376585189486e-05	43.61993217468262	0.12410599365830421	1.1404560804367065	0.007091040490195155	0.006370040820911527	0.005871640518307686	0.004911640891805291	0.00209228100720793	0.0015709607396274805	0.001353121013380587	0.00012672073717112653	0.00015136093134060502	0.00017132118227891624	25.10640048980713
TSC005	0.07859596237540245	0.05024760775268078	0.0016220661345869303	0.00020003318786621094	0.008382053580135107	0.0004340314771980047		1.975350558757782	0.017999999225139618		0.0014590024948120117	0.022890066727995872	0.02077204640954733	0.02040806319564581	0.022156057879328728	0.046440038830041885	0.0551560390740633	0.06116208992898464	0.327498123049736	0.43539004027843475	0.4624980539083481	0.004614501493051648	0.003607202786952257	0.002989203901961446	0.002629703260026872	0.0020182031439617276	0.0018434036173857749	0.0017643046448938549	0.0011379036586731672	0.0010355031117796898	0.0009897038107737899	0.02804000023752451	25.356200218200684	39.47975540161133	1.815721361708711e-05	34.515899658203125	0.13039200007915497	1.124366044998169	0.010160560254007578	0.008804320357739925	0.007676681037992239	0.006135120987892151	0.002333720796741545	0.0017339207115583122	0.001476160774473101	0.00013764083269052207	0.00017248101357836276	0.00018848046602215618	26.044797897338867
TSC008	0.1696706935763359	0.061581509187817574	0.0011405479745008051	0.0006980419275350869	0.015402088407427073	0.0013240528060123324		1.9386844038963318	0.017999999225139618		0.0008314040314871818	0.03624007850885391	0.029072041623294353	0.025860057212412357	0.026148052886128426	0.04826406575739384	0.05651606619358063	0.06232406571507454	0.3279580771923065	0.43609604239463806	0.4632360488176346	0.003904504468664527	0.00299170461948961	0.0024400040274485946	0.0021229040576145053	0.0015896031400188804	0.001439903979189694	0.0013723051524721086	0.0008482044795528054	0.0007651046034879982	0.0007275032985489815	0.03102399967610836	19.667799949645996	24.10211753845215	1.259788859897526e-05	43.81988334655762	0.0871719978749752	0.8239240348339081	0.005596640752628446	0.005236880853772163	0.005039841402322054	0.004247000440955162	0.0017508409800939262	0.0012956405407749116	0.0011329208500683308	4.840568180952687e-06	7.06407427060185e-05	0.00010616101644700393	19.986799240112305
TSC013	0.30646729469299316	0.08044131845235825	0.0009652860171627253	0.001986055402085185	0.029162044636905193	0.002952051116153598		1.7161606550216675	0.017999999225139618		0.0011846041306853294	0.06588006392121315	0.05013805441558361	0.040684064850211143	0.03743806481361389	0.052758077159523964	0.05980004370212555	0.06513804942369461	0.32957206666469574	0.4389740377664566	0.466264009475708	0.004312704550102353	0.003364604664966464	0.002786903060041368	0.002452704240567982	0.0018868044135160744	0.0017256038845516741	0.0016530046123079956	0.0010803034529089928	0.000987603038083762	0.0009461036243010312	0.049879997968673706	16.402099609375	16.663118362426758	1.6717910511943046e-05	84.38387680053711	0.04881799966096878	1.6615660786628723	0.00329812103882432	0.003320440766401589	0.0035477211931720376	0.003321400727145374	0.001856121001765132	0.0014524409198202193	0.0013130008592270315	4.6841054881952005e-05	0.00015032089868327603	0.00018828086467692629	16.517199516296387
TSC016	0.2630729228258133	0.07342880219221115	0.001044300093781203	0.0014660644810646772	0.02634806651622057	0.0021720505319535732		1.7823745012283325	0.017999999225139618		0.0012245032121427357	0.058230066671967506	0.04374806769192219	0.03587806783616543	0.03365604765713215	0.05136404000222683	0.058796048164367676	0.06427805498242378	0.3288840502500534	0.43762604892253876	0.4648320823907852	0.004349704133346677	0.0033927035983651876	0.002808402758091688	0.0024701046058908105	0.001896703615784645	0.0017332041170448065	0.0016597035573795438	0.0010779034928418696	0.0009838047553785145	0.0009412035578861833	0.04615199752151966	18.42289924621582	19.423118591308594	1.7478167592344107e-05	76.70391464233398	0.08841199800372124	1.0905219912528992	0.0036987208295613527	0.003831041045486927	0.003955560969188809	0.0036257609026506543	0.0019059611950069666	0.0014879208756610751	0.0013091207947582006	4.604101013683248e-05	0.00013048082837485708	0.00016624115232843906	18.668498992919922
TSC020	0.1249208003282547	0.07700901478528976	0.0010531499865464866	0.0004320383013691753	0.01128805661574006	0.0009700822702143341		1.95663183927536	0.017999999225139618		0.0010941043437924236	0.0291240643709898	0.025162062607705593	0.023490057326853275	0.02447605598717928	0.04738004691898823	0.05585204251110554	0.061748042702674866	0.32783208787441254	0.4359840601682663	0.4631400555372238	0.004228303441777825	0.00326910347212106	0.002685303916223347	0.0023482046090066433	0.0017794048762880266	0.0016173046897165477	0.0015444037271663547	0.0009746041905600578	0.0008828043937683105	0.0008419045771006495	0.02937199827283621	19.987099647521973	19.899558067321777	1.2797266208508518e-05	39.035926818847656	0.07676399871706963	1.0257779955863953	0.007496120408177376	0.006659161066636443	0.006028400966897607	0.005038760602474213	0.001996920967940241	0.001467200752813369	0.0012659209896810353	4.752091990667395e-05	0.0001417205530742649	0.00017956078227143735	20.2273006439209
TSC021	0.18205853551626205	0.06352970190346241	0.0013332880334928632	0.0010500478674657643	0.014548077713698149	0.002164063393138349		1.9182661175727844	0.017999999225139618		0.0010146030690521002	0.03720005601644516	0.03161606751382351	0.02826804667711258	0.028208074159920216	0.04871206358075142	0.05679205805063248	0.0625520683825016	0.3284240663051605	0.43710803985595703	0.4643200486898422	0.004141003824770451	0.0031950034899637103	0.0026201045839115977	0.0022885050857439637	0.0017296049045398831	0.0015718021895736456	0.0015002047875896096	0.0009434053208678961	0.0008547038014512509	0.000814505503512919	0.031996000558137894	24.63239860534668	32.8465576171875	1.0198503787250957e-05	48.5199031829834	0.08108600229024887	0.8151800334453583	0.005631600972265005	0.004958000732585788	0.004884440917521715	0.00429544085636735	0.001793120929505676	0.0013374011032283306	0.0011612806119956076	7.024087244644761e-05	0.00014152117364574224	0.0001702406952972524	24.747000694274902
TSC025	0.18635736405849457	0.06839680299162865	0.0014163380837999284	0.0009480476146563888	0.016894059255719185	0.001712050405330956		1.8923577070236206	0.017999999225139618		0.0012331035686656833	0.04076407477259636	0.033218059688806534	0.02909008041024208	0.028720065020024776	0.04906206578016281	0.057082051411271095	0.06279808655381203	0.32838205993175507	0.4369400441646576	0.46412602066993713	0.004374305019155145	0.0034024035558104515	0.002809403813444078	0.0024651045678183436	0.0018832030473276973	0.0017172041698358953	0.001642004237510264	0.0010535037727095187	0.0009576046722941101	0.0009155044099316001	0.03492800146341324	25.720099449157715	36.93924140930176	1.0078549166792072e-05	52.5199031829834	0.09763399511575699	0.7543400526046753	0.005703920731320977	0.005171280354261398	0.005103840492665768	0.004519880982115865	0.001972760888747871	0.0014923608396202326	0.0012890809448435903	0.00010224089055554941	0.0001644010844756849	0.00019296109530841932	25.6943998336792
TSC027	0.28618893027305603	0.08655960112810135	0.0014454700285568833	0.0014520644908770919	0.02777006197720766	0.002022051834501326		1.7475338578224182	0.017999999225139618		0.0012746038846671581	0.061566056683659554	0.04627606272697449	0.03771805763244629	0.03507606498897076	0.051922064274549484	0.059204043820500374	0.0646260604262352	0.32912805676460266	0.4380820691585541	0.46532806754112244	0.0043967042583972216	0.0034375033574178815	0.00285190436989069	0.002512705628760159	0.0019366034539416432	0.001772502961102873	0.0016980039654299617	0.0011119040427729487	0.0010164040140807629	0.0009739041270222515	0.04745599627494812	26.698500633239746	36.594717025756836	1.0038614163931925e-05	79.1358871459961	0.1113559901714325	0.7596760392189026	0.0034878005972132087	0.0036192004336044192	0.0038438806077465415	0.0035879607312381268	0.0018877207767218351	0.0014814810128882527	0.0012991209514439106	0.0001267208208446391	0.00018952093523694202	0.00023332081764237955	26.669599533081055
