matrix	n_clusters	inertia	silhouette_score	davies_bouldin_score	calinski_harabasz_score
M0_epi	3	97654002822.89255	0.20930590557881557	1.4855526146603595	38.9050801116328
M0_epi	4	82348292989.50954	0.22130327598048397	1.399228441596183	35.59984510379819
M0_epi	5	73577877528.62314	0.23900581301171614	1.2424257770822649	32.00012254903688
M0_epi	6	65905801251.350136	0.19136644471214811	1.3427566309976353	30.144978211198055
M0_epi	7	58115898781.620575	0.20768838368099596	1.1586272805370612	29.95016574310281
M0_epi	8	53736814533.42398	0.20056476050705807	1.1923958435872004	28.352150133935247
clr_M0_epi	3	63995137.45105681	0.06962453090500137	2.6563195477966866	6.82328472088682
clr_M0_epi	4	61947495.74098295	0.06685892024624539	2.881008799840598	5.569456817416705
clr_M0_epi	5	59988134.1083458	0.0610117698248938	3.0241084889399312	4.93992193401563
clr_M0_epi	6	58437666.94512756	0.04256543182023981	3.102099093803888	4.443037808924773
clr_M0_epi	7	57133292.82513803	0.05661228100782901	2.8601724693029786	4.049087959378928
clr_M0_epi	8	55958794.38820699	0.03840482225585946	2.918856152340849	3.739614201364971
M1_epi	3	55010802468.442856	0.23027977636363098	1.319412752087809	42.234344077586364
M1_epi	4	46721359522.50075	0.22788414451380454	1.4178638334661942	37.72961400275671
M1_epi	5	41540657770.17875	0.2536770701418352	1.2012740420610188	34.03520034673527
M1_epi	6	37073374308.78639	0.22176215424299583	1.1849411850818696	32.11770551875445
M1_epi	7	32758767528.27941	0.2225148083797255	1.1691411487949657	31.698574353343158
M1_epi	8	30111330625.398388	0.2160001660576593	1.152028591649112	30.198946990917115
clr_M1_epi	3	20082670.60682316	0.07624956708546804	2.6055692719569783	7.11963270408527
clr_M1_epi	4	19416108.774905138	0.05212258664661984	3.2012336574722067	5.812860689510291
clr_M1_epi	5	18805377.140382726	0.051797996525879623	3.176457670990211	5.12153123607176
clr_M1_epi	6	18354908.96817398	0.06022396763619688	2.8311448989415062	4.54969445685795
clr_M1_epi	7	17921127.419157796	0.05437852604716917	2.886086400544273	4.162595418546079
clr_M1_epi	8	17539120.139018804	0.038888543455580765	3.0841266580189544	3.849559388095202
guidi_epi	3	4909897245.111625	0.2232298986718466	1.519896176180559	39.33157171796629
guidi_epi	4	4117181510.8515143	0.222199752518045	1.4009641398510364	36.292806417390494
guidi_epi	5	3658101398.8478584	0.20326241895958228	1.335831194719591	32.874928654202584
guidi_epi	6	3230344658.1489835	0.21634785630439424	1.1492292715419037	31.59537093613621
guidi_epi	7	2900753367.7637835	0.22012580770346798	1.170784235455714	30.497432047131326
guidi_epi	8	2626870081.029895	0.22853556350749596	1.1215822752819582	29.701334737740314
clr_guidi_epi	3	1705246.9931055321	0.07760741742973272	2.7185145775126105	6.597298993242149
clr_guidi_epi	4	1650598.2363549976	0.06710461498862133	2.893155155482687	5.417396970474812
clr_guidi_epi	5	1604817.6088321607	0.054238706489230994	3.0968154145447793	4.7211400165856405
clr_guidi_epi	6	1557488.7508012038	0.05180829943442386	3.0756832831849255	4.343158823195336
clr_guidi_epi	7	1529758.0130653582	0.03922784193909726	3.150197506158111	3.8846917624320185
clr_guidi_epi	8	1486735.357783514	0.04807121269488315	2.939561017313812	3.7145093872873267
salazar_epi	3	614380602.1455845	0.27258162537037633	1.2073135267229607	38.88900063416995
salazar_epi	4	509666085.91104186	0.2549123295454132	1.2010153958775582	36.63780150771756
salazar_epi	5	446182087.7649095	0.2438363229441608	1.2872130461588243	33.966744587332975
salazar_epi	6	391504304.78125995	0.21488728748849867	1.1807450021280212	32.885774699365506
salazar_epi	7	350770100.24325347	0.21798662587220843	1.1982472362187118	31.781987729292823
salazar_epi	8	326898339.1725075	0.19888712331448988	1.212347685611245	29.704724866046707
clr_salazar_epi	3	88566.08950720294	0.15541513487376984	1.978576882177215	12.945625912506697
clr_salazar_epi	4	82078.74789555525	0.11985171280989758	2.142310943335723	11.416053488409869
clr_salazar_epi	5	76707.33510683301	0.11422388894473903	2.117313494404293	10.505542106309235
clr_salazar_epi	6	72928.92555712632	0.10728724749090279	2.1380541211986923	9.583034067860538
clr_salazar_epi	7	69623.2361216892	0.11376903023226913	1.9885234935620117	8.903991169694349
clr_salazar_epi	8	65824.63041064385	0.12465914202393401	1.8731224944557647	8.632279357240565
stress_epi	3	1335052124.6937852	0.324175168220214	1.037594934765932	56.9836749382957
stress_epi	4	1108047850.239672	0.24542493130905932	1.2960178680795722	50.969725401399046
stress_epi	5	998386254.5117426	0.24092713155352571	1.288954606835459	44.200219021104026
stress_epi	6	904753118.1398492	0.20399119275884933	1.25367066141679	40.24673349063979
stress_epi	7	816804818.285384	0.20745420583146634	1.1475063166931172	38.150744935514126
stress_epi	8	730227338.7806469	0.21595210504257992	1.0614051906641255	37.48112537964422
clr_stress_epi	3	29065.543689552447	0.18483690929870145	1.776298143317616	17.617323172937418
clr_stress_epi	4	26440.356879233863	0.17633107249651303	1.6799089974784216	15.539142791597463
clr_stress_epi	5	24724.072295322538	0.19404705640468378	1.756111181489531	13.755414749537806
clr_stress_epi	6	22928.41499525917	0.20019678735509555	1.6495379360446603	13.00755853033096
clr_stress_epi	7	21296.078878578686	0.2101500708125195	1.5170063625195116	12.562932393994132
clr_stress_epi	8	19994.193097857715	0.21690832113956365	1.5264545059096746	12.071934963693858
