matrix	n_clusters	inertia	silhouette_score	davies_bouldin_score	calinski_harabasz_score
guidi_mes	3	1914856236.6257665	0.5250237699312584	1.0173633201703054	33.51442128656465
guidi_mes	4	1588163787.0630908	0.22594218248866607	1.239178360515503	28.767093941988687
guidi_mes	5	1275277848.4944694	0.23390155590185185	1.1366446689834275	28.350708982185242
guidi_mes	6	1083657237.9526951	0.2382046556348195	0.9431704127882163	27.187493451315934
guidi_mes	7	948167356.9946237	0.23129629522564266	0.9098500080131208	25.963670666041146
guidi_mes	8	821716910.5096394	0.18740586135788417	1.0558939385366122	25.64942406938231
clr_guidi_mes	3	683142.5729730614	0.07723869539787472	2.657368535815788	3.5263308979877324
clr_guidi_mes	4	647939.529020506	0.06566742922081259	2.6038769762363105	3.0834654091496123
clr_guidi_mes	5	612426.3060729762	0.05956337155947602	2.629686298034253	2.902464145289243
clr_guidi_mes	6	580535.1035683601	0.06062303043628553	2.4062092139992983	2.766023475395669
clr_guidi_mes	7	551929.711259136	0.06567167175930626	2.2571503150420154	2.6489048445178094
clr_guidi_mes	8	527102.1267117842	0.06423620003195703	2.163227798881225	2.5295624873925546
M0_mes	3	41618500160.39867	0.5440931363543731	0.9365030367289321	37.67074577852069
M0_mes	4	34990996262.70042	0.23075236736014143	1.2263285046771446	31.42048039662052
M0_mes	5	29009599150.665688	0.23180356157512297	1.1873251305340315	29.511686153143014
M0_mes	6	23204853453.049194	0.2414498477093169	0.9084662710212483	30.44647673841991
M0_mes	7	20624542818.76423	0.22979480858399232	0.9322875176540063	28.43967107451013
M0_mes	8	18282187702.714317	0.18137643366881287	1.0499746967371388	27.295258368271806
clr_M0_mes	3	22392304.01855606	0.05195550447516328	3.001036932407916	3.1184405911412987
clr_M0_mes	4	21036327.6896282	0.07012839521955565	2.423787196852346	2.949723485948797
clr_M0_mes	5	19871732.2864518	0.053309939610811215	2.521516065870148	2.8061002722840804
clr_M0_mes	6	18866550.53258502	0.06259849539086575	2.3160059695343644	2.671753572949443
clr_M0_mes	7	17937325.21510752	0.07189179770663039	2.211164747728416	2.568448368301415
clr_M0_mes	8	17117204.1415727	0.07029168559098174	2.073759153970373	2.465025096254589
M1_mes	3	24070672744.32908	0.5430963616758075	0.9526344411047174	38.585003165015834
M1_mes	4	19965453939.01281	0.2420500860238943	1.2025496338892485	32.7322817534407
M1_mes	5	16328171533.368614	0.24631077995651024	1.1679134190130698	31.211380003417922
M1_mes	6	13005830774.679754	0.2549991464649765	0.8918681934647026	32.26485189305073
M1_mes	7	11553779594.574516	0.24129440802815277	0.9147914322535481	30.113932655516383
M1_mes	8	10198404661.191631	0.183893100192981	1.0642243299376466	29.008829172989426
clr_M1_mes	3	7492789.694469642	0.05148120716603774	3.048644849748865	3.1513536241011306
clr_M1_mes	4	7015471.670288181	0.06182782246530139	2.7875086384181036	3.023929125552275
clr_M1_mes	5	6653226.965186699	0.05682717038279047	2.5427186868483242	2.816813541009755
clr_M1_mes	6	6330190.441197251	0.06326744875248762	2.3366709177832767	2.659874332334699
clr_M1_mes	7	6033140.41517034	0.06780756906766702	2.3225345276448537	2.538255126516735
clr_M1_mes	8	5753138.347371779	0.07022790385301202	1.9890742961334762	2.443872520920537
salazar_mes	3	258158090.34011033	0.5868598973871458	0.7617733782468367	55.887103029336785
salazar_mes	4	214385337.0259847	0.2696006677144398	1.0678323781376176	46.20287131653557
salazar_mes	5	183993435.87439477	0.24296429541124037	1.0928457107669478	40.77134181460386
salazar_mes	6	155993165.96697623	0.22347471418467812	1.1344811184709858	38.659551046832355
salazar_mes	7	138111627.65190056	0.2228066709915031	0.9837700400539549	36.081421550381386
salazar_mes	8	120798909.6377463	0.22329166992630756	0.8361141852572294	34.9949981557932
clr_salazar_mes	3	45505.84312344528	0.10185343197762152	2.3337790851486004	5.680336156365292
clr_salazar_mes	4	42773.19679445232	0.08724690257039004	2.084923174701882	4.710740014427134
clr_salazar_mes	5	40034.20072046947	0.08902217049520154	2.1815545243494716	4.288500656128304
clr_salazar_mes	6	37766.46525012989	0.08325826925599643	2.019911151960688	3.9561087921862903
clr_salazar_mes	7	35787.560696853776	0.08326899758474272	1.9195947629962258	3.692996162481413
clr_salazar_mes	8	33770.190077503765	0.08220886983846397	1.7004546895558472	3.5374826768906638
stress_mes	3	622469720.3267906	0.589773511374476	0.9495715452699368	52.47469559544761
stress_mes	4	510456360.90573496	0.2366651122795113	1.236450213395973	44.243520478644626
stress_mes	5	398730847.0047571	0.2513577818777756	1.1205346777373977	43.854213893853164
stress_mes	6	358478897.9351102	0.23915258162774577	0.964518941287404	38.72475508954206
stress_mes	7	319386035.3153697	0.18106045045278113	1.1210125586829682	35.879282660369434
stress_mes	8	284256632.64818203	0.1665042945467093	1.0200504242703405	34.12061834685448
clr_stress_mes	3	17200.711265946273	0.1445154094299264	1.8366574756726914	7.165768068647966
clr_stress_mes	4	15231.774989724338	0.1431209720095004	1.652858413523762	6.84700422734571
clr_stress_mes	5	14046.608480663057	0.15446466285606508	1.59667350264319	6.177398047368615
clr_stress_mes	6	12638.839032935315	0.1673757542003917	1.528834874049864	6.119495944182813
clr_stress_mes	7	11936.27401942508	0.16898511721541584	1.4353810448911517	5.578999282645868
clr_stress_mes	8	10814.84061459879	0.1781062190698255	1.2961587742896001	5.611475290839483
