Samples	meh	prkb	rbcl	rbcs	coxs	coxm	cutm	coxl	cutl	mct	abfd	acs	acss	acsb	nirk	nosz	norb	nirs	napa	nrfa	nira	narb	nasa	nr	hao	nit-6	nifk	nifd	nifh	pufm	peth	pete	petc	psba	psaa	apca	apcf	cpca	cpea	mpea	cpet	lhcb1	lhca1	sat	met3	apra	aprb	suox	sir	cysc	cysk	cysm	cysh	cysj	cysi	cysn	cysd
S29_Z03	5.08498	154.177411	203.19056	164.15646	818.7753499999998	1555.8844199999994	14.74296	808.09264	388.51898	0.0	176.26640000000003	21.80765	0.0	0.0	393.26222000000007	5.31796	17.1681	0.0	206.4735	0.0	31.00636	42.74561	75.86448	0.0	0.0	0.0	0.0	0.0	17.50954	157.36669	255.08498000000003	161.42226	2755.515780000001	178.29984	541.21764	0.0	20.99084	38.14324	84.52957	17.414839999999998	186.44488	0.0	30.2415	2340.13122	31.5266	0.0	1897.4415999999987	12.47622	194.5351	3526.917460000001	1382.47864	510.1498	970.8591100000002	815.9176199999998	345.18316000000004	374.5134000000001	1298.02246
S29_Z05	0.0	42.15205	23.57903	0.0	568.0400000000001	1144.11504	0.0	388.0266699999999	122.71608	0.0	88.91982	0.0	0.0	0.0	696.98106	69.97229999999999	12.1105	0.0	11.1309	0.0	8.95666	62.41866	100.44066	0.0	0.0	0.0	0.0	0.0	0.0	10.10898	0.0	40.07617	940.3561499999998	29.80755	53.13235	0.0	0.0	0.0	0.0	0.0	5.93415	0.0	0.0	1197.87166	14.4993	0.0	910.56629	4.85369	0.0	2342.43625	787.7911399999999	528.29275	321.80204000000003	509.28432	394.09448	312.49526	761.6958500000001
S30_Z01	56.68346	156.00883	796.5965800000001	174.74271	943.91492	922.52528	4.55413	385.52454	25.9407	0.0	121.758	0.0	0.0	20.91736	920.6693299999998	49.1189	6.69681	0.0	145.79971	0.0	195.65083	57.5277	90.2915	0.0	0.0	0.0	0.0	0.0	0.0	298.02390999999994	293.68634000000003	197.74753	2649.51853	654.27821	1027.53092	14.5537	184.21045	178.29816	76.72488	154.0513	443.09403	0.0	130.1329	551.55599	0.0	0.0	1698.9720300000004	6.40698	183.04059	2816.823549999998	2183.1397800000004	423.9587700000001	728.14919	1284.6669500000005	300.33235	442.5075199999999	1204.0273200000004
S30_Z03	16.22734	86.60641	447.64576	160.72299999999998	1048.6499199999998	1000.06933	0.0	551.75526	104.98998	0.0	193.36027	0.0	0.0	18.91494	760.5541200000001	40.0301	11.3107	0.0	128.07654	0.0	153.0829	110.06179	42.2494	0.0	0.0	0.0	0.0	0.0	0.0	222.74791	143.73232000000002	164.49453999999997	2710.719520000001	548.2111899999999	598.60857	7.23829	93.71104	74.88139	97.43044	37.75113	233.63768000000005	0.0	124.39719	661.4693500000002	32.43494	26.73838	1549.0595799999996	0.0	82.17356000000001	2337.6744700000013	1664.5158399999998	338.22571000000005	418.68416	1504.2974399999994	372.2570000000001	249.4532800000001	807.0089100000001
S30_Z05	0.0	44.36352	87.43289999999999	50.93966	986.1677	1721.9002100000007	7.09147	765.4758999999999	183.58215	0.0	133.0321	0.0	0.0	0.0	1246.4408099999998	194.68468	0.0	0.0	87.77579	0.0	110.29571	70.14741000000001	90.28927	0.0	0.0	0.0	0.0	0.0	0.0	10.1938	0.0	72.22654	1609.5055700000005	47.16212	59.18811	0.0	0.0	0.0	7.80426	0.0	10.04882	0.0	5.56325	1843.91178	81.43651	0.0	1248.62382	5.44144	66.41282	2409.9999900000003	950.88491	749.1650400000001	367.1979199999999	523.25513	846.0653599999999	387.6492	696.1916200000001
S31_Z01	13.1518	436.28786	320.34068	397.6401999999999	571.6434900000002	430.5149100000001	0.0	346.00807000000003	24.77385	0.0	86.637	6.26885	0.0	0.0	343.40876000000003	34.884100000000004	0.0	0.0	117.4264	0.0	664.5297	260.21651	18.4588	0.0	0.0	0.0	7.66039	0.0	30.7084	288.08912	500.8669699999999	221.20316	2085.2279500000004	596.58077	949.5226799999998	200.2712	266.2909	745.0824000000001	244.0524	110.34479	374.89834	0.0	8.55074	590.4119400000002	31.7502	0.0	758.6414099999997	92.21621	416.5416	1924.7436500000008	975.3568799999996	227.0005	665.5686399999998	426.07379	308.76805	202.69471	985.01954
S31_Z03	7.74745	124.26488	170.21272000000002	184.02591	1094.4924599999997	1574.2429599999996	8.7364	1030.6222099999998	300.06585	0.0	121.04849	0.0	0.0	0.0	2046.38151	154.96599	0.0	5.50943	85.30061	0.0	70.46563	23.37905	86.59445000000001	0.0	0.0	0.0	7.6	0.0	10.3791	116.61891	107.58305	96.54054	2408.72018	702.0739699999998	264.33256	7.00681	54.79355	65.91821	90.9319	54.76795	113.47088	0.0	5.45037	3141.900079999999	73.35991999999999	0.0	1769.90845	6.96902	70.17934	3540.4980299999997	1343.8402500000009	544.0707399999999	976.02058	661.07652	725.7325	438.12225	1373.4428899999998
S31_Z05	0.0	170.73272	57.188860000000005	95.11089	1416.8315	2170.7429500000003	0.0	844.3211	347.35698999999994	0.0	71.97809000000001	5.40774	0.0	0.0	1920.00612	623.8584	30.21425	0.0	784.67601	6.23945	139.64382	75.74305	104.14738	0.0	0.0	0.0	0.0	0.0	0.0	45.06905	68.19449	43.9213	2441.3418	204.40331	95.09951	35.0184	43.996	20.68657	42.70648	43.45179	50.33794	0.0	0.0	2977.31077	14.751169999999998	0.0	1629.09462	0.0	22.29082	4158.630269999998	1070.98239	839.45289	898.87808	1558.71005	927.2056400000004	896.16185	1573.51103
S32_Z01	21.604190000000003	476.93013	226.31981	631.8444499999999	744.5411600000001	643.3106400000001	13.1223	618.1451800000001	10.3369	0.0	90.95714	17.66595	0.0	20.26842	476.27772	88.69754999999999	51.71853	0.0	166.66041	0.0	307.94397999999995	249.36194000000003	105.79233	0.0	0.0	0.0	0.0	0.0	29.9086	260.51356000000004	822.75953	712.6441099999998	2855.79277	1238.2624499999995	1060.78228	176.59830000000002	290.75043	361.44328	326.45151	275.12615	1067.20852	0.0	7.02494	955.71405	38.63569	0.0	1457.2199300000004	38.13127	442.99146	3485.67816	1536.9355000000005	415.99986	898.8471199999997	686.4263999999998	268.97250999999994	183.47061	1003.78067
S32_Z03	0.0	223.47676	15.1999	675.8368	2317.62626	4084.943940000001	6.70248	1386.5733899999998	375.98514	0.0	79.3462	0.0	0.0	6.3221	1904.67561	1495.63429	272.38637	153.50565999999998	413.85628	540.806	1763.83813	683.49715	73.2673	0.0	18.5184	0.0	0.0	0.0	0.0	0.0	584.38616	63.24261	3035.52483	3150.06517	411.63752000000005	223.3136	230.3474	13.7698	678.61882	218.82692	849.16727	0.0	0.0	3227.0477400000004	15.01075	140.84184	2035.59624	17.1431	27.84872	3351.864149999999	2929.86444	1899.93452	4619.945149999999	576.65054	2234.26626	992.2084100000002	2258.11728
S32_Z05	0.0	1406.57965	35.57698	9.13318	2178.61981	5979.730799999998	5.0162	1553.8035	148.06369999999998	11.0113	75.47424000000001	0.0	0.0	0.0	817.0365599999999	1823.0218700000005	1223.27413	275.08545000000004	1668.92486	247.83822	27.94394	136.07559	73.97418000000002	0.0	10.8445	0.0	0.0	0.0	0.0	0.0	88.95918999999999	5.82869	4422.9486	23.66546	17.04222	0.0	0.0	0.0	18.99947	0.0	10.66771	0.0	0.0	3128.443689999999	3.46961	491.20167	3053.66286	5.82524	8.89841	3971.913480000002	2147.8433199999986	3084.99998	4080.30717	291.95633	3094.34398	1370.1803100000002	1367.6298799999995
S33_Z01	18.3752	185.33593	134.84004	748.8449999999999	1215.83106	966.44667	175.7152	663.9449800000002	190.26066	8.84218	489.5617	9.49895	0.0	21.83157	2784.93112	1708.6330200000002	261.21606	193.72831	655.6314800000001	442.485	1273.07012	1178.99414	53.35929	0.0	0.0	0.0	0.0	0.0	0.0	254.6184	763.4034799999998	175.25138	3092.162469999999	3174.7814600000006	783.22093	568.8004	530.82367	149.0564	662.20515	646.67764	1526.1024900000002	0.0	5.76744	2068.27205	0.0	135.38	1450.1133599999994	16.1154	209.77628	3931.916999999999	1811.24276	1505.7591200000004	2356.5130000000004	918.03967	1350.00242	752.29113	2070.4119399999995
S33_Z03	0.0	246.62425	44.8554	884.38047	3726.07416	4315.702909999999	10.1473	1190.39328	833.18615	0.0	148.74842999999998	0.0	0.0	4.02308	1829.0968299999995	1674.3816500000005	397.3628	540.0547100000001	831.52096	448.77785	826.9539199999999	428.1533	72.12927	0.0	27.6103	0.0	0.0	0.0	37.2202	1.71319	832.5943299999999	147.57380999999998	4328.78459	1179.14802	58.68865	333.87940000000003	316.39979	36.9349	865.32386	300.40971	1121.7808	0.0	0.0	3222.101929999999	0.0	188.3437	2151.91429	40.7287	23.3121	5078.6758	2901.48744	1965.99063	6184.580980000002	633.01269	2859.5614100000007	1828.2864800000004	3206.6043700000005
S33_Z05	0.0	303.87182	46.09001	87.2996	2996.8613800000007	9223.286310000003	27.7186	1637.7056000000002	180.4983	16.9303	103.6182	8.32821	0.0	0.0	736.66857	696.86661	740.76174	555.3843299999999	444.67918	86.8619	129.98008000000002	98.37212	153.02685	0.0	23.175	0.0	0.0	0.0	0.0	0.0	167.41174	46.3939	4206.094549999999	236.22864	107.27828	30.0873	53.92168	24.2555	79.026	46.4374	106.19308	0.0	0.0	3186.34994	0.0	79.97945	3445.7249299999994	17.616709999999998	60.05037	5784.886189999998	3093.4549999999995	1618.31899	5708.450180000001	307.03762	2657.17497	1704.3973099999992	2935.59333
S34_Z01	8.01655	87.17875000000001	180.46191	846.8322499999999	1893.47081	1923.4694900000009	77.7349	1028.5434900000002	918.64749	0.0	443.85382	0.0	0.0	0.0	2929.8987099999995	1931.60094	40.74861	91.43908	417.9007	214.0337	1573.36166	1169.29941	69.87672	0.0	20.734	0.0	0.0	0.0	0.0	148.08538	922.7617	223.52952	3839.71066	3144.1434400000003	1341.77284	808.1981	889.1861	71.21932000000001	1130.463	948.44998	1528.19074	0.0	0.0	3132.31314	60.60974	0.0	1989.95312	16.6821	112.19096	4959.517860000003	2756.2360499999995	1449.5069600000004	2747.4766000000004	909.4986	1201.67333	1061.04924	2857.8350799999994
S34_Z03	0.0	146.26944	11.544	133.7054	2643.77689	6223.808589999997	12.0072	1598.35761	466.79128	11.0364	96.27042	0.0	0.0	0.0	1266.0431700000004	1216.38703	322.49416	413.9321900000001	419.73079	107.67039	80.84141	115.86707	116.5419	0.0	16.633	0.0	0.0	0.0	0.0	0.0	97.3013	72.44890000000001	3332.962650000001	494.27240000000006	97.2726	59.8412	57.64812	31.08317	126.3767	68.9151	175.57613	0.0	0.0	2691.0277200000005	0.0	32.7744	2515.7492199999992	10.7447	13.50809	3314.4630099999995	2766.1503900000007	1790.0033400000002	4600.974069999999	335.27273	2353.1033	1331.0488799999996	2120.3200300000003
S34_Z05	0.0	468.2241800000001	29.61829	14.77864	3140.9697300000007	8021.2716599999985	0.0	1495.14512	210.2005	16.7351	91.2734	0.0	0.0	0.0	664.28813	774.08071	577.07162	384.8081	575.3378299999998	144.06642	26.5048	49.93077	149.16361999999998	0.0	14.3243	0.0	0.0	0.0	0.0	0.0	85.47876	36.24831	3506.677610000001	59.87582	24.9446	12.8536	0.0	35.3976	25.2148	13.7376	34.48458	0.0	0.0	3615.255019999999	0.0	244.4193	2978.9587700000006	16.48113	0.0	3518.738539999999	2847.706759999999	2412.5253100000004	5042.0208900000025	307.14993000000004	3910.12234	1160.8449500000002	1820.07345
