Samples	M0_srf_kmeans_3	M0_srf_kmeans_4	M0_srf_kmeans_5	M0_srf_kmeans_6	M0_srf_kmeans_7	M0_srf_kmeans_8	clr_M0_srf_kmeans_3	clr_M0_srf_kmeans_4	clr_M0_srf_kmeans_5	clr_M0_srf_kmeans_6	clr_M0_srf_kmeans_7	clr_M0_srf_kmeans_8	M1_srf_kmeans_3	M1_srf_kmeans_4	M1_srf_kmeans_5	M1_srf_kmeans_6	M1_srf_kmeans_7	M1_srf_kmeans_8	clr_M1_srf_kmeans_3	clr_M1_srf_kmeans_4	clr_M1_srf_kmeans_5	clr_M1_srf_kmeans_6	clr_M1_srf_kmeans_7	clr_M1_srf_kmeans_8	M4_srf_kmeans_3	M4_srf_kmeans_4	M4_srf_kmeans_5	M4_srf_kmeans_6	M4_srf_kmeans_7	M4_srf_kmeans_8	clr_M4_srf_kmeans_3	clr_M4_srf_kmeans_4	clr_M4_srf_kmeans_5	clr_M4_srf_kmeans_6	clr_M4_srf_kmeans_7	clr_M4_srf_kmeans_8	guidi_srf_kmeans_3	guidi_srf_kmeans_4	guidi_srf_kmeans_5	guidi_srf_kmeans_6	guidi_srf_kmeans_7	guidi_srf_kmeans_8	clr_guidi_srf_kmeans_3	clr_guidi_srf_kmeans_4	clr_guidi_srf_kmeans_5	clr_guidi_srf_kmeans_6	clr_guidi_srf_kmeans_7	clr_guidi_srf_kmeans_8	salazar_srf_kmeans_3	salazar_srf_kmeans_4	salazar_srf_kmeans_5	salazar_srf_kmeans_6	salazar_srf_kmeans_7	salazar_srf_kmeans_8	clr_salazar_srf_kmeans_3	clr_salazar_srf_kmeans_4	clr_salazar_srf_kmeans_5	clr_salazar_srf_kmeans_6	clr_salazar_srf_kmeans_7	clr_salazar_srf_kmeans_8	stress_srf_kmeans_3	stress_srf_kmeans_4	stress_srf_kmeans_5	stress_srf_kmeans_6	stress_srf_kmeans_7	stress_srf_kmeans_8	clr_stress_srf_kmeans_3	clr_stress_srf_kmeans_4	clr_stress_srf_kmeans_5	clr_stress_srf_kmeans_6	clr_stress_srf_kmeans_7	clr_stress_srf_kmeans_8
TSC060	1	1	1	0	0	1	1	0	3	0	1	4	1	1	1	2	0	1	1	0	1	2	6	1	0	2	2	0	6	4	1	1	1	3	1	7	1	0	0	4	0	7	0	2	1	2	5	4	0	3	0	0	0	3	2	3	0	5	3	7	2	2	2	2	0	1	2	3	3	2	3	6
TSC062	1	1	0	4	6	4	1	0	3	0	1	4	1	0	0	1	6	6	1	0	1	2	6	1	0	0	3	4	5	5	1	1	1	3	1	7	2	2	2	5	2	0	0	2	1	2	5	4	1	1	1	1	1	1	2	1	0	1	3	4	2	3	3	4	3	0	2	1	3	0	3	7
TSC065	2	0	0	4	3	3	1	0	3	0	1	4	2	0	0	1	6	5	1	0	1	2	6	1	1	1	3	4	5	7	1	1	1	3	1	7	2	2	2	3	2	4	0	2	1	2	5	4	0	3	0	0	0	3	2	3	0	1	2	7	2	3	3	4	3	0	2	1	3	0	6	6
TSC068	2	1	0	4	6	4	1	0	3	0	1	4	2	0	0	1	6	6	1	0	1	4	1	1	1	0	3	4	5	5	1	1	0	1	1	0	2	2	2	5	2	0	0	2	1	2	5	2	1	1	1	1	1	5	0	1	1	3	0	2	2	3	3	3	3	5	2	3	3	2	3	7
TSC070	1	2	4	3	4	6	1	0	3	0	1	2	1	1	4	3	4	3	1	0	1	2	6	1	2	3	0	3	3	1	1	1	1	3	1	7	1	0	1	2	6	1	0	2	1	2	5	2	0	3	0	0	0	3	2	3	1	1	2	2	1	0	0	0	1	7	2	1	0	0	6	3
TSC071	1	2	4	3	4	6	1	2	3	0	5	2	1	1	4	3	4	3	1	2	1	2	6	5	2	3	0	3	3	1	2	3	1	2	2	7	1	0	1	2	6	1	0	2	2	2	5	2	0	3	0	0	1	1	0	2	3	0	4	5	1	0	0	0	1	7	2	3	3	2	3	7
TSC073	1	2	4	3	4	6	1	0	3	0	1	2	1	1	4	3	4	3	1	0	1	2	6	5	2	3	0	3	3	1	2	3	1	3	1	7	1	0	1	2	6	1	0	2	1	2	5	2	0	3	0	0	0	3	0	1	3	0	4	5	1	0	0	0	1	7	0	3	0	5	3	7
TSC078	2	0	3	1	3	3	0	2	1	5	2	2	2	3	3	5	1	5	0	2	3	1	6	5	1	1	4	1	2	7	2	3	3	2	2	1	2	2	2	0	2	0	0	2	2	2	5	3	0	0	3	3	5	4	2	2	1	1	2	3	2	3	3	3	2	5	2	1	3	0	6	3
TSC085	1	2	4	3	4	6	0	2	3	5	5	2	1	1	4	3	4	3	0	2	1	1	6	5	2	3	0	3	3	1	2	3	3	2	2	1	1	0	1	2	6	1	0	2	2	2	1	3	0	3	0	0	0	3	0	2	3	0	4	2	1	0	0	0	1	7	0	3	3	0	5	5
TSC089	1	2	1	0	0	1	0	2	3	5	5	7	1	1	1	2	0	1	0	2	3	1	5	0	0	2	2	0	6	4	2	3	3	2	2	1	1	0	0	4	0	7	0	1	2	2	1	3	0	3	0	0	0	3	0	3	1	5	4	5	1	0	0	0	1	4	2	1	3	0	3	3
TSC092	1	2	4	3	4	6	1	3	0	1	4	1	1	1	4	3	4	3	1	1	1	5	2	4	2	3	0	3	0	2	2	3	1	3	4	2	1	0	1	2	6	1	1	0	3	5	3	1	0	3	0	0	0	3	0	2	3	3	4	5	1	0	0	0	1	7	0	3	0	1	5	5
TSC102	1	2	4	3	4	6	0	2	3	0	5	7	1	1	4	3	4	3	0	2	3	1	5	0	2	3	0	3	0	2	2	2	3	2	2	1	1	0	1	2	6	1	0	1	2	4	4	3	0	3	0	0	0	3	0	2	3	0	4	5	1	0	0	0	1	7	2	3	3	2	3	7
TSC110	1	2	4	3	4	6	1	2	3	0	1	2	1	1	4	3	4	3	1	0	1	4	1	5	2	3	0	3	0	2	2	2	1	3	6	7	1	0	1	2	6	1	0	2	2	2	4	7	0	3	0	0	0	3	2	3	1	1	5	7	1	0	0	0	1	7	2	3	3	2	3	7
TSC117	1	2	4	3	4	6	1	0	3	2	1	4	1	1	4	3	4	3	1	0	1	2	6	1	2	3	0	3	3	1	1	1	1	3	1	0	1	0	1	2	6	1	0	2	1	2	4	7	0	3	0	0	0	5	2	3	0	5	3	7	1	0	0	0	1	7	2	1	3	2	0	6
TSC126	1	2	4	3	4	6	1	0	3	3	1	5	1	1	4	3	4	3	1	0	1	0	6	7	2	3	0	3	0	2	2	2	1	4	6	6	1	0	1	2	6	1	0	2	4	2	4	6	0	3	0	0	0	3	2	2	1	1	5	2	1	0	0	0	1	7	2	1	3	2	3	3
TSC135	1	1	1	0	0	1	1	2	3	3	1	5	1	1	1	2	0	1	1	0	1	0	6	7	0	2	2	0	6	4	2	2	1	4	6	6	1	0	0	4	0	7	0	1	2	2	1	6	0	3	0	0	0	3	2	2	1	1	5	2	2	2	2	2	0	1	2	1	3	0	3	6
TSC140	1	3	1	0	0	5	2	3	4	1	4	1	1	1	1	0	2	4	2	1	0	5	3	4	2	3	0	3	3	1	0	0	4	5	5	4	0	0	0	4	5	3	1	0	3	5	2	1	0	3	0	0	0	3	1	0	2	2	1	0	1	0	0	0	1	4	1	0	4	1	1	4
TSC141	0	3	2	5	2	2	2	3	2	1	4	1	0	2	2	0	5	7	2	1	0	5	3	4	0	2	1	5	4	3	0	0	2	5	5	4	0	3	4	1	3	5	1	0	3	5	2	1	0	0	3	3	5	4	1	0	2	2	1	0	0	1	4	1	4	3	1	0	2	3	4	1
TSC145	0	3	2	5	2	2	2	3	4	1	4	1	0	2	2	4	5	7	2	1	0	5	3	4	1	1	1	2	1	0	0	0	4	5	5	4	0	3	4	1	3	5	1	0	3	5	2	1	1	0	3	3	5	4	1	0	2	4	1	6	0	1	4	1	4	6	1	0	4	1	1	4
TSC147	1	1	1	5	0	1	1	3	0	2	1	0	1	1	1	2	2	1	1	3	4	2	2	6	0	2	1	2	1	0	1	1	0	3	1	0	1	0	0	4	0	7	2	3	4	4	0	7	0	3	0	0	0	3	0	1	4	3	0	1	1	0	0	0	6	4	0	3	3	5	0	0
TSC148	2	0	3	1	1	0	1	3	0	2	6	0	2	3	3	5	1	2	1	3	4	2	2	6	1	1	4	1	2	6	1	1	0	1	1	0	2	1	3	0	1	6	2	3	4	4	4	7	1	1	1	1	6	0	0	1	4	3	0	7	0	1	1	5	5	2	0	3	3	5	0	0
TSC149	2	1	1	5	3	3	1	0	3	2	1	4	2	3	1	2	0	1	1	0	1	2	2	1	1	1	1	2	1	0	1	1	0	3	1	0	2	0	0	4	0	7	0	3	4	4	5	4	1	1	1	1	6	0	2	3	1	1	5	2	1	0	0	0	6	4	2	1	3	0	6	6
TSC152	1	2	4	3	4	6	1	0	3	0	1	4	1	1	4	3	4	3	1	0	1	2	6	1	0	3	2	0	6	1	1	1	1	3	3	7	1	0	1	4	0	7	0	2	1	2	5	4	0	3	0	0	1	5	2	3	0	1	2	4	1	0	0	0	1	7	2	2	1	4	6	6
TSC153	1	1	0	4	3	1	1	0	3	2	1	4	1	0	0	2	6	1	1	0	1	2	1	1	0	0	3	4	5	5	1	1	1	3	1	0	2	2	2	5	2	0	0	2	1	2	5	4	0	3	0	0	0	5	2	3	1	1	2	4	1	3	3	4	6	4	2	1	3	0	6	3
TSC156	2	0	3	5	3	3	1	0	3	0	3	0	2	3	3	5	1	5	1	3	2	4	1	3	1	1	1	2	1	0	1	1	1	3	3	0	2	1	3	0	1	6	0	3	4	4	4	7	1	1	1	1	6	0	2	3	2	1	1	7	1	0	0	4	6	4	2	1	3	0	6	6
TSC159	1	1	1	0	0	1	1	2	3	0	3	2	1	1	1	2	0	1	1	0	2	4	1	3	0	2	1	2	1	0	1	1	1	1	3	5	1	0	0	4	0	7	0	1	4	2	5	2	0	3	0	0	1	5	0	1	4	3	0	1	1	0	0	0	6	4	0	3	0	5	0	0
TSC163	1	2	1	0	0	1	1	0	3	0	3	2	1	1	1	2	0	1	1	0	2	2	6	3	0	2	2	0	6	4	1	1	1	1	3	7	1	0	0	4	0	7	0	2	4	2	5	2	0	3	0	0	0	3	2	3	1	1	4	6	1	0	0	0	6	4	2	3	3	2	3	7
TSC167	1	2	1	0	0	1	1	2	3	0	1	2	1	1	1	2	0	3	1	3	2	4	1	3	0	2	2	0	6	4	1	1	1	1	3	7	1	0	0	4	0	7	0	3	4	0	4	7	0	3	0	0	1	5	2	3	0	1	5	2	1	0	0	0	6	4	2	3	3	5	0	0
TSC170	1	1	1	0	0	1	1	2	3	0	3	4	1	1	1	2	0	1	1	2	2	4	1	3	0	2	1	2	1	0	1	1	1	1	3	7	1	0	0	4	0	7	0	2	1	4	4	2	1	1	1	1	1	5	2	3	1	1	5	2	1	0	0	0	6	4	2	1	3	0	6	6
TSC173	1	1	1	0	0	1	1	0	3	0	3	4	1	1	1	2	0	1	1	0	1	4	6	3	0	0	2	0	6	4	1	1	1	3	3	7	1	0	0	4	0	7	0	2	1	2	4	4	0	3	0	0	0	5	2	3	1	1	2	2	1	3	3	4	6	4	2	1	3	0	3	6
TSC184	1	2	4	0	4	6	1	2	3	0	3	2	1	1	1	3	0	3	1	0	2	4	1	3	0	3	2	0	6	4	1	1	1	3	3	7	1	0	0	4	0	7	0	2	1	0	4	7	0	3	0	0	1	5	2	3	1	1	5	2	1	0	0	0	1	4	2	1	3	1	6	7
TSC191	1	2	4	3	4	6	0	2	1	0	3	6	1	1	4	3	4	3	0	2	2	4	1	5	2	3	0	3	3	1	2	3	1	1	2	7	1	0	1	2	6	1	0	2	2	0	4	0	0	3	0	0	0	3	0	2	3	3	6	2	1	0	0	0	1	4	0	3	0	1	6	2
TSC199	2	0	3	1	3	3	0	2	3	0	3	6	2	3	3	5	1	5	0	2	2	4	1	3	1	1	4	1	2	7	2	3	3	2	3	5	2	1	3	0	1	6	0	2	1	0	5	0	1	1	4	5	4	6	0	2	3	3	6	3	0	1	4	5	5	6	0	3	1	5	0	0
TSC207	1	1	1	5	3	1	1	2	3	0	3	2	1	1	1	2	0	1	1	2	2	4	1	3	0	2	1	2	1	0	2	1	1	1	3	7	1	0	0	4	0	7	0	3	4	0	4	0	1	1	1	1	1	5	0	1	4	3	0	5	0	1	4	1	6	4	0	3	3	5	0	0
TSC210	1	2	4	3	4	6	1	2	3	0	3	2	1	1	4	3	4	3	1	0	2	4	1	3	2	3	0	3	3	1	2	3	1	1	3	7	1	0	1	2	6	1	0	2	1	2	4	7	1	1	1	1	1	1	2	3	1	1	5	2	1	0	0	0	1	4	0	3	0	1	3	2
TSC213	1	1	1	0	0	1	1	0	3	0	1	4	1	1	1	2	0	1	1	0	1	4	6	1	0	0	2	0	6	4	1	1	1	3	1	7	1	0	0	4	0	7	0	2	1	2	5	4	0	3	0	0	0	3	2	3	1	1	2	6	2	3	2	4	3	0	2	1	3	0	3	6
TSC216	2	0	3	1	1	0	1	3	0	2	6	4	2	3	3	5	1	2	1	3	4	2	2	3	1	1	4	1	2	6	1	1	0	1	1	0	2	1	3	0	1	6	2	3	4	4	6	5	1	1	1	1	6	0	0	1	4	3	0	1	0	1	4	5	5	6	0	3	3	5	0	0
TSC219	1	1	1	0	0	1	1	2	3	0	3	2	1	1	1	2	0	1	1	0	2	4	1	3	0	2	2	0	6	4	1	1	1	1	3	7	1	0	0	4	0	7	0	2	1	2	5	2	1	1	1	1	1	5	2	3	1	1	5	2	1	0	0	0	6	4	2	3	3	5	3	6
TSC222	1	1	4	4	0	1	1	0	3	0	1	4	1	1	1	2	0	1	1	0	1	2	6	1	0	0	2	0	6	4	1	1	1	3	1	7	1	0	0	5	0	7	0	2	1	2	5	7	0	3	0	0	0	5	2	3	1	1	5	7	1	0	0	4	6	4	2	1	3	0	3	6
TSC223	1	2	1	0	0	1	1	0	3	2	1	4	1	1	1	3	0	3	1	0	1	2	2	1	0	2	2	0	6	4	1	1	1	3	1	0	1	0	0	4	0	7	2	3	4	2	5	2	0	3	0	0	0	3	0	3	0	5	3	7	1	0	0	0	6	4	2	1	3	2	3	7
TSC224	1	1	1	0	0	1	1	0	0	2	1	4	1	1	1	2	0	1	1	0	1	2	2	1	0	2	2	0	6	4	1	1	0	3	1	7	1	0	0	4	0	7	2	3	4	2	4	7	0	3	0	0	0	3	0	1	3	3	0	1	2	2	2	2	0	1	0	2	1	4	2	5
TSC227	1	1	1	0	0	1	0	2	3	0	3	2	1	1	1	2	0	1	1	2	1	4	6	5	0	2	2	0	6	4	1	3	0	3	1	7	1	0	0	4	0	7	0	1	2	2	1	7	0	3	0	3	0	5	0	1	3	3	4	1	2	2	2	2	0	1	0	2	1	4	5	5
TSC229	1	2	1	0	0	1	0	2	1	5	5	7	1	1	1	2	0	1	0	2	3	1	5	0	2	3	2	0	3	1	2	3	3	2	2	1	1	0	0	4	0	7	0	1	2	3	1	3	0	3	0	0	0	3	0	2	3	0	4	5	1	0	0	0	6	4	0	3	2	2	0	5
TSC231	1	2	1	0	0	1	0	2	1	5	2	7	1	1	1	2	0	1	0	2	3	1	5	5	0	2	2	0	6	4	2	3	3	2	2	1	1	0	0	4	0	7	0	1	2	3	1	3	0	0	3	3	5	4	2	2	3	1	5	3	2	2	2	2	0	1	0	2	1	4	5	5
TSC233	1	2	1	0	0	1	0	2	1	5	2	2	1	1	1	2	0	1	0	2	3	1	6	5	0	2	2	0	6	4	2	3	3	2	2	1	1	0	0	4	0	7	0	1	2	2	1	3	0	3	0	0	0	3	0	1	4	3	0	5	2	2	2	2	0	1	2	2	1	2	3	7
TSC235	1	2	1	0	0	6	0	2	1	5	2	7	1	1	1	3	0	3	0	2	3	1	5	0	0	2	2	0	6	4	2	3	3	2	2	1	1	0	1	4	0	7	0	1	2	3	1	3	0	3	0	3	0	3	0	2	3	0	4	5	2	2	2	2	0	1	2	2	1	4	2	3
TSC237	1	2	1	0	0	1	0	2	1	5	5	7	1	1	1	2	0	1	0	2	3	1	5	0	0	2	2	0	6	4	2	3	3	2	2	1	1	0	0	4	0	7	0	1	2	3	1	3	0	3	0	0	0	5	0	2	3	0	4	5	2	2	2	2	0	1	0	2	1	4	5	5
TSC239	1	1	1	0	0	1	0	2	3	5	5	2	1	1	1	2	0	1	0	2	2	1	5	3	0	2	1	2	1	0	2	3	1	3	2	7	1	0	0	4	0	7	0	3	4	2	1	3	0	3	0	0	0	3	0	2	1	0	4	5	2	2	2	2	0	1	2	2	1	2	2	3
TSC242	1	2	1	0	0	1	0	2	1	5	5	7	1	1	1	2	0	1	0	2	3	1	5	0	0	2	2	0	6	4	2	3	3	2	2	1	1	0	0	4	0	7	0	1	2	3	1	3	0	3	0	0	0	5	0	2	3	0	4	5	2	2	2	2	0	1	0	3	3	2	0	7
TSC245	0	3	2	5	2	2	0	3	1	5	5	7	0	2	2	0	2	7	0	2	3	1	5	0	0	2	1	2	1	0	2	3	3	2	2	1	0	3	4	1	3	5	0	1	2	3	1	3	0	0	3	4	5	7	0	2	3	2	6	3	0	1	4	1	4	3	0	3	1	5	0	5
TSC248	0	3	2	5	2	2	2	3	4	1	4	1	0	2	2	0	5	7	2	1	0	5	3	4	0	2	1	2	1	0	0	0	4	0	4	2	0	3	4	1	3	5	1	0	3	5	3	1	1	1	1	1	6	5	1	0	2	4	1	6	0	1	4	1	4	3	1	0	2	3	4	1
TSC251	0	3	2	2	5	7	2	1	2	4	0	3	0	2	2	4	3	0	2	1	0	3	4	2	0	2	2	5	4	3	0	0	2	5	0	4	0	3	4	1	4	2	1	0	0	1	3	1	1	0	3	4	5	7	1	0	2	4	1	6	0	1	4	1	4	3	1	0	2	3	4	1
TSC254	0	3	2	2	5	7	2	1	2	4	0	3	0	2	2	4	3	0	2	1	0	3	4	2	0	2	1	5	4	3	0	0	4	0	0	3	0	3	4	1	4	2	1	0	0	1	3	1	1	0	3	4	3	7	1	0	2	2	1	0	0	1	4	1	4	6	1	0	2	3	4	1
TSC257	0	3	2	2	5	5	2	1	2	4	0	3	0	2	2	0	2	4	2	1	0	3	4	2	2	3	0	3	3	2	0	0	2	5	0	4	0	3	4	1	5	3	1	0	0	1	3	1	1	0	3	4	3	7	1	0	2	2	1	0	0	1	4	1	4	3	1	0	2	3	4	1
TSC259	0	3	2	2	5	7	2	1	2	4	0	3	0	2	2	4	3	7	2	1	0	3	4	2	0	2	2	5	4	3	0	0	4	0	0	3	0	3	4	1	4	2	1	0	0	1	3	1	1	0	3	4	3	7	1	0	2	4	1	6	0	1	4	1	4	3	1	0	2	3	4	1
TSC261	0	3	2	5	2	2	2	1	2	4	0	3	0	2	2	0	2	7	2	1	0	3	4	2	0	2	2	5	4	3	0	0	4	0	0	3	0	3	4	1	5	3	1	0	0	1	3	1	1	0	3	3	5	4	1	0	2	4	1	6	0	1	4	1	4	3	1	0	2	3	4	1
TSC264	1	2	1	0	0	5	2	1	4	1	4	1	1	1	1	3	2	4	2	1	0	3	4	2	2	3	0	3	3	2	0	0	4	0	4	3	1	0	1	2	5	1	1	0	0	1	3	1	0	3	0	0	0	5	1	0	2	4	1	6	1	0	0	0	1	4	1	0	2	3	4	1
TSC265	0	3	2	5	2	2	2	1	4	4	0	3	0	2	2	0	2	7	2	1	0	3	4	2	0	2	2	5	4	3	0	0	4	0	0	3	0	3	4	1	3	5	1	0	3	1	3	1	1	0	3	4	5	7	1	0	2	4	1	3	0	1	4	1	4	3	1	0	2	3	4	1
TSC267	0	3	1	5	2	2	0	3	4	1	4	1	0	2	1	0	2	7	2	1	0	3	0	4	0	2	1	2	1	0	2	3	4	2	4	2	0	0	0	4	0	5	1	0	3	5	3	1	0	0	3	3	5	3	2	2	1	4	2	3	0	1	4	1	4	3	1	0	2	0	5	5
TSC268	1	2	1	0	0	5	2	1	4	4	4	3	1	1	1	0	2	4	2	1	0	3	0	2	2	3	2	5	3	1	0	0	4	0	4	2	1	0	0	4	5	3	1	0	3	5	3	1	0	3	0	0	0	3	2	0	1	4	1	3	1	0	0	0	1	4	1	0	2	3	4	1
TSC270	0	3	1	5	2	5	2	1	4	1	4	3	0	2	1	0	2	4	2	1	0	3	0	2	0	2	2	5	4	3	0	0	4	0	4	2	0	3	4	1	3	5	1	0	3	5	3	1	1	1	1	1	6	0	1	0	2	4	1	3	0	1	4	1	4	3	1	0	2	3	4	1
TSC272	0	3	2	2	5	5	2	1	2	4	0	3	0	2	2	0	2	4	2	1	0	3	4	2	2	3	0	3	3	2	0	0	4	0	0	3	0	3	4	1	5	3	1	0	0	1	3	1	1	0	3	4	5	7	1	0	2	2	1	0	0	2	2	2	4	3	1	0	2	3	4	1
TSC273	1	2	1	0	0	5	2	3	4	1	4	1	1	1	1	0	2	4	2	1	0	5	0	2	2	3	2	5	4	3	0	0	4	0	4	2	1	0	0	4	5	1	1	0	3	5	3	1	0	0	3	4	0	7	1	0	2	4	1	0	1	0	0	0	1	4	1	0	2	3	4	1
TSC274	0	3	2	2	5	7	2	1	4	4	4	3	0	2	2	4	3	0	2	1	0	3	4	2	0	2	2	5	4	3	0	0	4	0	4	3	0	3	4	1	4	2	1	0	0	1	3	1	1	0	3	4	3	7	1	0	2	2	1	0	0	1	4	1	4	3	1	0	2	3	4	1
TSC276	0	3	2	2	5	7	2	1	2	4	0	3	0	2	2	4	3	0	2	1	0	3	4	2	0	2	2	5	4	3	0	0	4	0	0	3	0	3	4	1	4	2	1	0	0	1	3	1	1	0	3	4	3	7	1	0	2	2	1	0	0	1	4	1	4	6	1	0	2	3	4	1
