Samples	Temperature_3_EPI	Oxygen_3_EPI	nitrates_3_EPI	Temperature_4_EPI	Oxygen_4_EPI	nitrates_4_EPI	Temperature_5_EPI	Oxygen_5_EPI	nitrates_5_EPI	Temperature_6_EPI	Oxygen_6_EPI	nitrates_6_EPI	Temperature_7_EPI	Oxygen_7_EPI	nitrates_7_EPI	Temperature_8_EPI	Oxygen_8_EPI	nitrates_8_EPI
S26_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	4.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	6.0	0.0
S26_Z03	2.0	1.0	0.0	3.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	1.0	5.0	4.0	2.0	6.0	4.0	2.0
S26_Z05	1.0	0.0	1.0	1.0	1.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	2.0	2.0	4.0	3.0	2.0	4.0
S27_Z01	1.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	4.0	3.0	4.0	5.0	3.0	5.0
S27_Z03	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	5.0	3.0	1.0	6.0	3.0	1.0	7.0
S27_Z05	1.0	0.0	2.0	1.0	0.0	3.0	2.0	0.0	4.0	2.0	0.0	5.0	3.0	0.0	6.0	3.0	0.0	7.0
S28_Z01	2.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	6.0	1.0
S28_Z03	2.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	1.0	4.0	3.0	2.0	5.0	3.0	2.0	5.0	4.0	3.0
S28_Z05	1.0	0.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0	3.0	1.0	4.0	3.0	2.0	4.0	4.0	2.0	5.0
S29_Z01	2.0	2.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	5.0	0.0
S29_Z03	2.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0	3.0	5.0	3.0	4.0	6.0	4.0	5.0	6.0	4.0	5.0
S29_Z05	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	3.0	2.0	2.0	3.0	3.0	3.0	4.0	3.0	3.0	5.0
S30_Z01	2.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	3.0	0.0	6.0	4.0	0.0	7.0	5.0	1.0
S30_Z03	1.0	1.0	1.0	2.0	1.0	1.0	3.0	1.0	2.0	3.0	2.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0
S30_Z05	1.0	0.0	1.0	2.0	0.0	2.0	2.0	1.0	3.0	3.0	1.0	3.0	3.0	1.0	4.0	4.0	1.0	5.0
S31_Z01	2.0	2.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	4.0	0.0	6.0	5.0	0.0	7.0	5.0	0.0
S31_Z03	2.0	1.0	1.0	3.0	1.0	2.0	4.0	2.0	2.0	4.0	2.0	3.0	5.0	2.0	3.0	6.0	3.0	4.0
S31_Z05	1.0	0.0	2.0	2.0	0.0	3.0	3.0	0.0	4.0	3.0	0.0	4.0	4.0	0.0	5.0	5.0	1.0	6.0
S32_Z01	2.0	1.0	0.0	3.0	2.0	0.0	4.0	3.0	0.0	5.0	3.0	0.0	6.0	4.0	0.0	7.0	4.0	0.0
S32_Z03	2.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	2.0	6.0	0.0	2.0
S32_Z05	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0
S33_Z01	2.0	1.0	0.0	3.0	1.0	0.0	4.0	2.0	0.0	5.0	2.0	0.0	6.0	2.0	0.0	7.0	3.0	0.0
S33_Z03	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0	6.0	0.0	1.0
S33_Z05	2.0	0.0	1.0	2.0	0.0	1.0	3.0	0.0	1.0	4.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	2.0
S34_Z01	2.0	0.0	1.0	3.0	0.0	2.0	4.0	0.0	2.0	5.0	0.0	3.0	6.0	0.0	3.0	7.0	0.0	4.0
S34_Z03	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	5.0	0.0	1.0	6.0	0.0	1.0
S34_Z05	2.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	1.0	4.0	0.0	1.0	5.0	0.0	1.0
