	Temperature_5	Temperature_7	Temperature_6	Temperature_8	Oxygen_5	Oxygen_7	Oxygen_6	Oxygen_8	nitrates_5	nitrates_7	nitrates_6	nitrates_8
all	(0.21451023391812868, 0.1981890177723511)	(0.16191520467836257, 0.15150427174236697)	(0.18819444444444444, 0.17157521619327173)	(0.15584795321637424, 0.13722993827160496)	(0.33665935672514613, 0.31946140279473606)	(0.24883040935672515, 0.22163871181728323)	(0.2799342105263158, 0.25637708484930705)	(0.23826754385964913, 0.2134975749559083)	(0.20098684210526313, 0.1846725342558676)	(0.20171783625730993, 0.18254769921436587)	(0.19119152046783625, 0.17727027345082902)	(0.16765350877192983, 0.14411237874779542)
EPI	(0.29545454545454547, 0.2662477954144621)	(0.23232323232323232, 0.19198318216175358)	(0.369949494949495, 0.32175925925925924)	(0.16287878787878787, 0.13215525793650792)	(0.2638888888888889, 0.23175925925925928)	(0.21969696969696967, 0.19366654069035022)	(0.25, 0.21746031746031746)	(0.19823232323232323, 0.1722883597883598)	(0.18434343434343434, 0.16140652557319224)	(0.16414141414141414, 0.13385298563869993)	(0.23989898989898992, 0.21592261904761903)	(0.19191919191919193, 0.1548735119047619)
MES	(0.16990740740740742, 0.11842592592592593)	(0.3908730158730158, 0.30628306878306877)	(0.15740740740740738, 0.12106481481481479)	(0.4548611111111111, 0.3690393518518518)	(0.24444444444444446, 0.18185185185185185)	(0.3551587301587301, 0.2790343915343915)	(0.25925925925925924, 0.1929783950617284)	(0.2916666666666667, 0.21533564814814815)	(0.20324074074074072, 0.14935185185185185)	(0.3968253968253968, 0.31276455026455025)	(0.30092592592592593, 0.23657407407407405)	(0.4722222222222222, 0.39496527777777773)
SRF	(0.7611111111111111, 0.7037037037037037)	(0.863095238095238, 0.823743386243386)	(0.7453703703703703, 0.6845679012345678)	(0.9236111111111112, 0.9001736111111112)	(0.6083333333333333, 0.5285185185185185)	(0.75, 0.6917989417989419)	(0.6921296296296297, 0.626466049382716)	(0.7517361111111112, 0.6889467592592591)	(0.6805555555555556, 0.6138888888888889)	(0.8472222222222221, 0.8022486772486771)	(0.6921296296296295, 0.6328703703703703)	(0.8489583333333334, 0.8101851851851851)
