matrix_tara_world_adj_grids_01.tsv,Mean Flux at 150m	matrix_tara_world_adj_grids_01.tsv,NPP 8d VGPM (mgC/m2/day)	matrix_tara_world_adj_grids_01.tsv,Fluorescence	matrix_tara_world_adj_grids_09.tsv,Mean Flux at 150m	matrix_tara_world_adj_grids_09.tsv,NPP 8d VGPM (mgC/m2/day)	matrix_tara_world_adj_grids_09.tsv,Fluorescence	matrix_tara_world_adj_grids_25.tsv,Mean Flux at 150m	matrix_tara_world_adj_grids_25.tsv,NPP 8d VGPM (mgC/m2/day)	matrix_tara_world_adj_grids_25.tsv,Fluorescence	matrix_tara_world_adj_grids_49.tsv,Mean Flux at 150m	matrix_tara_world_adj_grids_49.tsv,NPP 8d VGPM (mgC/m2/day)	matrix_tara_world_adj_grids_49.tsv,Fluorescence
TSC219	TSC170	TSC173	TSC219	TSC170	TSC173	TSC219	TSC170	TSC173	TSC219	TSC170	TSC173
TSC222	TSC173	TSC184	TSC222	TSC173	TSC184	TSC222	TSC173	TSC184	TSC222	TSC173	TSC184
TSC223	TSC184	TSC191	TSC223	TSC184	TSC191	TSC223	TSC184	TSC191	TSC223	TSC184	TSC191
TSC224	TSC191	TSC199	TSC224	TSC191	TSC199	TSC224	TSC191	TSC199	TSC224	TSC191	TSC199
TSC227	TSC199	TSC207	TSC227	TSC199	TSC207	TSC227	TSC199	TSC207	TSC227	TSC199	TSC207
TSC229	TSC207	TSC210	TSC229	TSC207	TSC210	TSC229	TSC207	TSC210	TSC229	TSC207	TSC210
TSC231	TSC210	TSC213	TSC231	TSC210	TSC213	TSC231	TSC210	TSC213	TSC231	TSC210	TSC213
TSC233	TSC213	TSC216	TSC233	TSC213	TSC216	TSC233	TSC213	TSC216	TSC233	TSC213	TSC216
TSC235	TSC216	TSC219	TSC235	TSC216	TSC219	TSC235	TSC216	TSC219	TSC235	TSC216	TSC219
TSC237	TSC219	TSC222	TSC237	TSC219	TSC222	TSC237	TSC219	TSC222	TSC237	TSC219	TSC222
TSC239	TSC222	TSC223	TSC239	TSC222	TSC223	TSC239	TSC222	TSC223	TSC239	TSC222	TSC223
TSC242	TSC223	TSC224	TSC242	TSC223	TSC224	TSC242	TSC223	TSC224	TSC242	TSC223	TSC224
	TSC224	TSC227		TSC224	TSC227		TSC224	TSC227		TSC224	TSC227
	TSC227	TSC229		TSC227	TSC229		TSC227	TSC229		TSC227	TSC229
	TSC229	TSC231		TSC229	TSC231		TSC229	TSC231		TSC229	TSC231
	TSC231	TSC233		TSC231	TSC233		TSC231	TSC233		TSC231	TSC233
	TSC233	TSC235		TSC233	TSC235		TSC233	TSC235		TSC233	TSC235
	TSC235	TSC237		TSC235	TSC237		TSC235	TSC237		TSC235	TSC237
	TSC237	TSC239		TSC237	TSC239		TSC237	TSC239		TSC237	TSC239
	TSC239	TSC242		TSC239	TSC242		TSC239	TSC242		TSC239	TSC242
	TSC242	TSC245		TSC242	TSC245		TSC242	TSC245		TSC242	TSC245
		TSC248			TSC248			TSC248			TSC248
		TSC251			TSC251			TSC251			TSC251
		TSC254			TSC254			TSC254			TSC254
		TSC257			TSC257			TSC257			TSC257
		TSC259			TSC259			TSC259			TSC259
		TSC261			TSC261			TSC261			TSC261
		TSC264			TSC265			TSC265			TSC265
		TSC265			TSC267			TSC267			TSC267
		TSC267			TSC268			TSC268			TSC268
		TSC268			TSC272			TSC272			TSC272
		TSC272			TSC280			TSC280			TSC281
		TSC280			TSC281			TSC281			TSC282
		TSC281			TSC282			TSC282			TSC285
		TSC282			TSC285			TSC285			
		TSC285									
