samples	CHL.chlor_a	FLH.nflh	KD.Kd_490	PAR.par	PIC.pic	POC.poc	RRS.Rrs_412	RRS.Rrs_443	RRS.Rrs_469	RRS.Rrs_488	RRS.Rrs_531	RRS.Rrs_547	RRS.Rrs_555	RRS.Rrs_645	RRS.Rrs_667	RRS.Rrs_678	SST.sst
TSC001	0.320455566048622	0.0729800084081944	0.0513999987015268	43.4239989514463	4.09977798199179e-05	83.3999058753252	0.00444700086006833	0.00449400085994967	0.00460000085968204	0.00419300086070962	0.00231300086545616	0.00183200086667057	0.00160600086724116	9.00008710686961e-05	0.000107000871025775	0.000152000870912161	22.9049994880334
TSC003	0.138729147613049	0.0508375084937143	0.0329999991663499	39.1399987479672	1.09977798956606e-05	43.1999052762985	0.00710400085336005	0.00638800085516777	0.00588500085643773	0.00491800085887917	0.00208500086603181	0.00156500086734468	0.00135100086788498	0.000129000870970231	0.000153000870909636	0.000179000870843993	25.3749994328246
TSC005	0.078143235296011	0.0478200085053686	0.0278999992951867	40.1429987956071	1.69977798805121e-05	34.2999051436782	0.0101190008457479	0.00879900084908058	0.00767300085192346	0.00612700085582674	0.00232300086543091	0.00172700086693567	0.00147200086757948	0.000140000870942458	0.000173000870859141	0.000186000870826319	26.1324994158931
TSC008	0.167823128402233	0.056745008470898	0.03009999923961	24.1419980356004	1.09977798956606e-05	42.6999052688479	0.005551000857281	0.00522100085811417	0.00503500085858377	0.0042340008606061	0.00171900086695587	0.00126700086809706	0.00111200086848839	4.00087128582527e-06	5.90008711469636e-05	0.000114000871008102	19.9424995542504
TSC013	0.292030826210976	0.0745100084022852	0.0488999987646821	16.3309976645978	9.9977798981854e-06	78.5999058037996	0.00337500086277487	0.00337300086277992	0.00356400086229769	0.00334300086285566	0.00185000086662512	0.0014390008676628	0.00130300086800617	4.80008711747359e-05	0.000154000870907112	0.000168000870871765	16.5449996301904
TSC016	0.250347316265106	0.0670725084310106	0.0448999988657306	19.6289978212444	1.09977798956606e-05	68.7999056577682	0.0039070008614317	0.00397900086124992	0.00403000086112115	0.00366600086204016	0.00189500086651151	0.00147100086758201	0.00128800086804404	3.6000871205033e-05	0.000129000870970231	0.000158000870897013	18.8124995795079
TSC020	0.128814108669758	0.0840300083655166	0.0301999992370838	20.0529978413833	1.09977798956606e-05	40.2999052330852	0.0074010008526102	0.0065890008546603	0.00597700085620545	0.0050340008585863	0.00202400086618582	0.00149800086751384	0.00128700086804656	4.70008711772607e-05	0.000147000870924785	0.000196000870801072	20.09999955073
TSC021	0.176393561065197	0.0625675084484101	0.0309999992168741	32.8909984511556	9.9977798981854e-06	46.5999053269625	0.00580200085664728	0.00509200085843986	0.00499500085868476	0.00437500086025011	0.00179800086675641	0.0013380008679178	0.00116000086836721	7.40008711090923e-05	0.000141000870939934	0.00016900087086924	24.742499446962
TSC025	0.187515906989574	0.0700900084193563	0.0349999991158256	37.0179986471776	9.9977798981854e-06	52.4999054148793	0.00570400085689471	0.00515300085828585	0.00508800085844996	0.00450300085992694	0.00197000086632215	0.00149000086753404	0.00129100086803646	0.000103000871035874	0.000164000870881864	0.000194000870806121	25.7449994245544
TSC027	0.288887858390808	0.0852200083609205	0.047999998787418	36.6409986292711	9.9977798981854e-06	80.4999058321118	0.0033860008627471	0.00354300086235071	0.00379500086171447	0.00356100086230526	0.00188800086652918	0.00148600086754413	0.00130800086799354	0.00012500087098033	0.00019000087081622	0.000243000870682408	26.6974994032644
