matrix	n_clusters	inertia	silhouette_score	davies_bouldin_score	calinski_harabasz_score
M0_srf-nonpolar	3	50748139234.55688	0.1969987957622593	1.6729334847394266	24.63817836720635
M0_srf-nonpolar	4	44358011906.33377	0.1641120404152996	1.5382199074844696	21.204778405807147
M0_srf-nonpolar	5	40276691091.83404	0.1518220475205246	1.5547287615871734	18.626493169330526
M0_srf-nonpolar	6	37202591306.68698	0.1467718707507904	1.3809434380467778	16.75336445851735
M0_srf-nonpolar	7	34905259959.169846	0.1498121390743331	1.282908465980791	15.201806127608826
M0_srf-nonpolar	8	32470911400.778076	0.1311315900513144	1.3495270063638591	14.315231655921991
clr_M0_srf-nonpolar	3	28065420.468532454	0.0316692832241948	3.8231140026780928	2.755909458197652
clr_M0_srf-nonpolar	4	27347324.954896577	0.0517991568520273	2.5671215092941617	2.351916381058068
clr_M0_srf-nonpolar	5	26453121.92170179	0.020274328582359	3.4618199825451916	2.264818161911789
clr_M0_srf-nonpolar	6	25631519.465007145	0.0238015774033156	3.0374753098945084	2.1891389289726386
clr_M0_srf-nonpolar	7	24816659.66994945	0.0262870445875745	2.517278325455284	2.1454419627268155
clr_M0_srf-nonpolar	8	24255098.051277615	0.0308304284725304	2.187593011865384	2.02197921063398
M0_srf	3	89859950584.11978	0.2821786469976923	1.6049867108320377	24.98911033606603
M0_srf	4	81367690829.06564	0.1672256700843172	1.724829107040312	20.916537030883028
M0_srf	5	74920098712.34044	0.1277495626154123	1.6294818980324275	18.49995184926462
M0_srf	6	69910881364.19704	0.1106888939128824	1.7240156660577357	16.760494615417457
M0_srf	7	65844320814.05096	0.1174116460794233	1.7712717361316792	15.419391794407954
M0_srf	8	61552417344.66124	0.1344506964898373	1.678945890505093	14.699237956309911
clr_M0_srf	3	40301032.04229421	0.0572870449825395	3.4319560631625134	6.1280465417005905
clr_M0_srf	4	39331960.276100144	0.0334895488747364	3.82319502726	4.7825034283794245
clr_M0_srf	5	38262346.90920221	0.0381971294784527	3.415039074786216	4.1855921172788495
clr_M0_srf	6	37244919.26008469	0.0340667693301966	3.300218829477055	3.816528017322813
clr_M0_srf	7	36600454.95185424	0.0285241576574406	3.288078703413858	3.4174456753101357
clr_M0_srf	8	35547740.80231607	0.0317732510001003	2.9953710376278044	3.2935957574804826
M1_srf-nonpolar	3	28904188581.817997	0.3790645513893652	1.3962903123860724	24.472496600630397
M1_srf-nonpolar	4	25085751965.06366	0.16370303354538	1.5430871535400996	21.366372429006237
M1_srf-nonpolar	5	22772285753.575977	0.1523784049100609	1.6166614520222382	18.76533831327685
M1_srf-nonpolar	6	21005457721.64778	0.1505306474874145	1.3649457128751343	16.90961086831295
M1_srf-nonpolar	7	19587922743.64454	0.1557628680485705	1.2669986656003327	15.487664851407358
M1_srf-nonpolar	8	18358233576.47003	0.1321973784839715	1.3763872147321958	14.409203871102038
clr_M1_srf-nonpolar	3	10710320.851189148	0.0309776581509081	3.935420482366951	2.6150258469405836
clr_M1_srf-nonpolar	4	10426940.986485086	0.0309823425311661	3.5384088283399695	2.2762316407312766
clr_M1_srf-nonpolar	5	10135676.925629811	0.0225815905900183	3.5193704054938117	2.127732121768916
clr_M1_srf-nonpolar	6	9800150.72411168	0.0205493070108748	3.313191089842307	2.10563156659917
clr_M1_srf-nonpolar	7	9475018.523657748	0.0286017082584814	2.8244586910873566	2.0907385208408846
clr_M1_srf-nonpolar	8	9317040.249434352	0.020224814824848	2.6753274284991795	1.917078433065904
M1_srf	3	49616857026.57168	0.2820866928146425	1.6286679988008856	25.275529212154375
M1_srf	4	44734482549.571465	0.2785137260180542	1.4973540584653522	21.329853772288505
M1_srf	5	40820587716.4173	0.1337648549395335	1.5750079389812306	19.178980532866337
M1_srf	6	38323490041.51982	0.1380139542139374	1.7632254022800244	17.136836800264902
M1_srf	7	35953068960.34217	0.1336028286217135	1.696083044327273	15.859672059655338
M1_srf	8	34032772423.693436	0.1434990504502772	1.6824306501843835	14.776636891861248
clr_M1_srf	3	14893355.63224205	0.0628240743441366	3.3587432167818534	5.9179805317420335
clr_M1_srf	4	14495736.319859568	0.0525714554766504	3.4983121192311737	4.72519720729732
clr_M1_srf	5	14104555.099149255	0.0509790080911647	3.295770279937374	4.136902721748337
clr_M1_srf	6	13822460.888104703	0.0368660050912597	3.225067325933745	3.6480577598464223
clr_M1_srf	7	13508880.53685608	0.0332328571347775	3.1463836136705186	3.3642489842739827
clr_M1_srf	8	13219054.296185523	0.0331264882038203	3.0896456899816203	3.1430004367743805
M4_srf-nonpolar	3	663430942339.2039	0.3211825052470423	0.9831888692061024	53.396973054670696
M4_srf-nonpolar	4	545064302585.9029	0.3303203172933085	1.039185335213772	46.70748487422197
M4_srf-nonpolar	5	472238976002.8228	0.2827093849294544	1.0933098957248828	41.88241807157722
M4_srf-nonpolar	6	417113772582.9224	0.2580703031116484	1.054860099972039	38.71038630470102
M4_srf-nonpolar	7	362761569898.7782	0.2623294253246082	1.0538416891979665	37.76599938758308
M4_srf-nonpolar	8	334568163890.61383	0.2234290946888918	1.2193806364152522	35.08673935567433
clr_M4_srf-nonpolar	3	39132033.7434074	0.0613452491724954	2.8504350470198574	3.366740003907641
clr_M4_srf-nonpolar	4	38025168.972997695	0.0439457217007771	3.0972681965726183	2.8230691606430387
clr_M4_srf-nonpolar	5	36707487.31616039	0.0195367289181561	3.205091109740317	2.6573825184325326
clr_M4_srf-nonpolar	6	35471042.37421778	0.0180520489553749	2.8732654131679873	2.544161221739268
