Sample	Cluster
TSC001	0
TSC003	1
TSC005	0
TSC008	0
TSC013	2
TSC016	6
TSC020	6
TSC021	5
TSC025	5
TSC027	1
TSC031	1
TSC036	1
TSC045	1
TSC056	4
TSC060	4
TSC062	5
TSC065	7
TSC068	5
TSC070	1
TSC071	1
TSC073	1
TSC078	7
TSC085	1
TSC089	4
TSC092	2
TSC102	2
TSC110	2
TSC117	1
TSC126	2
TSC135	4
TSC140	1
TSC141	3
TSC145	0
TSC147	0
TSC148	6
TSC149	0
TSC152	1
TSC153	5
TSC156	0
TSC159	0
TSC163	4
TSC167	4
TSC170	0
TSC173	4
TSC184	4
TSC191	1
TSC199	7
TSC207	0
TSC210	1
TSC213	4
TSC216	6
TSC219	4
TSC222	4
TSC223	4
TSC224	4
TSC227	4
TSC229	1
TSC231	4
TSC233	4
TSC235	4
TSC237	4
TSC239	0
TSC242	4
TSC245	0
TSC248	0
TSC251	3
TSC254	3
TSC257	2
TSC259	3
TSC261	3
TSC264	2
TSC265	3
TSC267	0
TSC268	1
TSC270	3
TSC272	2
TSC273	3
TSC274	3
TSC276	3
TSC280	0
TSC281	2
TSC282	0
TSC285	2
