Sample	Cluster
TSC001	5
TSC003	0
TSC005	1
TSC008	1
TSC013	3
TSC016	1
TSC020	1
TSC021	4
TSC025	4
TSC027	0
TSC031	3
TSC036	3
TSC045	3
TSC056	0
TSC060	0
TSC062	4
TSC065	4
TSC068	4
TSC070	3
TSC071	3
TSC073	3
TSC078	1
TSC085	3
TSC089	0
TSC092	3
TSC102	3
TSC110	3
TSC117	3
TSC126	3
TSC135	0
TSC140	0
TSC141	5
TSC145	5
TSC147	5
TSC148	1
TSC149	5
TSC152	3
TSC153	4
TSC156	5
TSC159	0
TSC163	0
TSC167	0
TSC170	0
TSC173	0
TSC184	0
TSC191	3
TSC199	1
TSC207	5
TSC210	3
TSC213	0
TSC216	1
TSC219	0
TSC222	4
TSC223	0
TSC224	0
TSC227	0
TSC229	0
TSC231	0
TSC233	0
TSC235	0
TSC237	0
TSC239	0
TSC242	0
TSC245	5
TSC248	5
TSC251	2
TSC254	2
TSC257	2
TSC259	2
TSC261	5
TSC264	0
TSC265	5
TSC267	5
TSC268	0
TSC270	5
TSC272	2
TSC273	0
TSC274	2
TSC276	2
TSC280	5
TSC281	0
TSC282	5
TSC285	2
