Sample	Cluster
TSC001	0
TSC003	0
TSC005	6
TSC008	1
TSC013	0
TSC016	6
TSC020	6
TSC021	1
TSC025	1
TSC027	0
TSC031	0
TSC036	0
TSC045	0
TSC056	1
TSC060	0
TSC062	1
TSC065	0
TSC068	1
TSC070	0
TSC071	1
TSC073	0
TSC078	5
TSC085	0
TSC089	0
TSC092	0
TSC102	0
TSC110	0
TSC117	0
TSC126	0
TSC135	0
TSC140	0
TSC141	5
TSC145	5
TSC147	0
TSC148	6
TSC149	6
TSC152	1
TSC153	0
TSC156	6
TSC159	1
TSC163	0
TSC167	1
TSC170	1
TSC173	0
TSC184	1
TSC191	0
TSC199	4
TSC207	1
TSC210	1
TSC213	0
TSC216	6
TSC219	1
TSC222	0
TSC223	0
TSC224	0
TSC227	0
TSC229	0
TSC231	5
TSC233	0
TSC235	0
TSC237	0
TSC239	0
TSC242	0
TSC245	5
TSC248	6
TSC251	5
TSC254	3
TSC257	3
TSC259	3
TSC261	5
TSC264	0
TSC265	5
TSC267	5
TSC268	0
TSC270	6
TSC272	5
TSC273	0
TSC274	3
TSC276	3
TSC280	5
TSC281	0
TSC282	6
TSC285	2
