Sample	Cluster
TSC001	1
TSC003	3
TSC005	1
TSC008	1
TSC013	3
TSC016	1
TSC020	1
TSC021	0
TSC025	0
TSC027	3
TSC031	3
TSC036	3
TSC045	3
TSC056	2
TSC060	2
TSC062	0
TSC065	1
TSC068	0
TSC070	3
TSC071	3
TSC073	3
TSC078	1
TSC085	3
TSC089	2
TSC092	3
TSC102	3
TSC110	3
TSC117	3
TSC126	3
TSC135	2
TSC140	3
TSC141	2
TSC145	1
TSC147	2
TSC148	1
TSC149	1
TSC152	3
TSC153	0
TSC156	1
TSC159	2
TSC163	2
TSC167	2
TSC170	2
TSC173	0
TSC184	3
TSC191	3
TSC199	1
TSC207	2
TSC210	3
TSC213	0
TSC216	1
TSC219	2
TSC222	0
TSC223	2
TSC224	2
TSC227	2
TSC229	3
TSC231	2
TSC233	2
TSC235	2
TSC237	2
TSC239	2
TSC242	2
TSC245	2
TSC248	2
TSC251	2
TSC254	2
TSC257	3
TSC259	2
TSC261	2
TSC264	3
TSC265	2
TSC267	2
TSC268	3
TSC270	2
TSC272	3
TSC273	3
TSC274	2
TSC276	2
TSC280	2
TSC281	3
TSC282	2
TSC285	3
