Sample	Cluster
TSC001	1
TSC003	4
TSC005	1
TSC008	1
TSC013	4
TSC016	1
TSC020	1
TSC021	6
TSC025	6
TSC027	4
TSC031	4
TSC036	4
TSC045	4
TSC056	0
TSC060	0
TSC062	6
TSC065	6
TSC068	6
TSC070	4
TSC071	4
TSC073	4
TSC078	1
TSC085	4
TSC089	0
TSC092	4
TSC102	4
TSC110	4
TSC117	4
TSC126	4
TSC135	0
TSC140	2
TSC141	5
TSC145	5
TSC147	2
TSC148	1
TSC149	0
TSC152	4
TSC153	6
TSC156	1
TSC159	0
TSC163	0
TSC167	0
TSC170	0
TSC173	0
TSC184	0
TSC191	4
TSC199	1
TSC207	0
TSC210	4
TSC213	0
TSC216	1
TSC219	0
TSC222	0
TSC223	0
TSC224	0
TSC227	0
TSC229	0
TSC231	0
TSC233	0
TSC235	0
TSC237	0
TSC239	0
TSC242	0
TSC245	2
TSC248	5
TSC251	3
TSC254	3
TSC257	2
TSC259	3
TSC261	2
TSC264	2
TSC265	2
TSC267	2
TSC268	2
TSC270	2
TSC272	2
TSC273	2
TSC274	3
TSC276	3
TSC280	5
TSC281	2
TSC282	5
TSC285	2
