Sample	Cluster
TSC001	5
TSC003	3
TSC005	0
TSC008	1
TSC013	3
TSC016	0
TSC020	0
TSC021	1
TSC025	1
TSC027	3
TSC031	3
TSC036	3
TSC045	3
TSC056	1
TSC060	3
TSC062	1
TSC065	3
TSC068	5
TSC070	3
TSC071	1
TSC073	3
TSC078	4
TSC085	3
TSC089	3
TSC092	3
TSC102	3
TSC110	3
TSC117	5
TSC126	3
TSC135	3
TSC140	3
TSC141	4
TSC145	4
TSC147	3
TSC148	0
TSC149	0
TSC152	5
TSC153	5
TSC156	0
TSC159	5
TSC163	3
TSC167	5
TSC170	5
TSC173	5
TSC184	5
TSC191	3
TSC199	6
TSC207	5
TSC210	1
TSC213	3
TSC216	0
TSC219	5
TSC222	5
TSC223	3
TSC224	3
TSC227	5
TSC229	3
TSC231	4
TSC233	3
TSC235	3
TSC237	5
TSC239	3
TSC242	5
TSC245	7
TSC248	5
TSC251	7
TSC254	7
TSC257	7
TSC259	7
TSC261	4
TSC264	5
TSC265	7
TSC267	3
TSC268	3
TSC270	0
TSC272	7
TSC273	7
TSC274	7
TSC276	7
TSC280	7
TSC281	7
TSC282	0
TSC285	2
