Sample	Cluster
TSC001	5
TSC003	3
TSC005	2
TSC008	5
TSC013	3
TSC016	2
TSC020	2
TSC021	6
TSC025	6
TSC027	3
TSC031	3
TSC036	3
TSC045	3
TSC056	1
TSC060	1
TSC062	6
TSC065	5
TSC068	6
TSC070	3
TSC071	3
TSC073	3
TSC078	5
TSC085	3
TSC089	1
TSC092	3
TSC102	3
TSC110	3
TSC117	3
TSC126	3
TSC135	1
TSC140	4
TSC141	7
TSC145	7
TSC147	1
TSC148	2
TSC149	1
TSC152	3
TSC153	1
TSC156	5
TSC159	1
TSC163	1
TSC167	3
TSC170	1
TSC173	1
TSC184	3
TSC191	3
TSC199	5
TSC207	1
TSC210	3
TSC213	1
TSC216	2
TSC219	1
TSC222	1
TSC223	3
TSC224	1
TSC227	1
TSC229	1
TSC231	1
TSC233	1
TSC235	3
TSC237	1
TSC239	1
TSC242	1
TSC245	7
TSC248	7
TSC251	0
TSC254	0
TSC257	4
TSC259	7
TSC261	7
TSC264	4
TSC265	7
TSC267	7
TSC268	4
TSC270	4
TSC272	4
TSC273	4
TSC274	0
TSC276	0
TSC280	7
TSC281	4
TSC282	7
TSC285	4
