Sample	Cluster
TSC001	1
TSC003	2
TSC005	1
TSC008	4
TSC013	0
TSC016	4
TSC020	4
TSC021	3
TSC025	3
TSC027	0
TSC031	0
TSC036	0
TSC045	0
TSC056	2
TSC060	2
TSC062	3
TSC065	3
TSC068	3
TSC070	0
TSC071	0
TSC073	0
TSC078	4
TSC085	0
TSC089	2
TSC092	0
TSC102	0
TSC110	0
TSC117	0
TSC126	0
TSC135	2
TSC140	0
TSC141	1
TSC145	1
TSC147	1
TSC148	4
TSC149	1
TSC152	2
TSC153	3
TSC156	1
TSC159	1
TSC163	2
TSC167	2
TSC170	1
TSC173	2
TSC184	2
TSC191	0
TSC199	4
TSC207	1
TSC210	0
TSC213	2
TSC216	4
TSC219	2
TSC222	2
TSC223	2
TSC224	2
TSC227	2
TSC229	2
TSC231	2
TSC233	2
TSC235	2
TSC237	2
TSC239	1
TSC242	2
TSC245	1
TSC248	1
TSC251	2
TSC254	1
TSC257	0
TSC259	2
TSC261	2
TSC264	0
TSC265	2
TSC267	1
TSC268	2
TSC270	2
TSC272	0
TSC273	2
TSC274	2
TSC276	2
TSC280	1
TSC281	0
TSC282	1
TSC285	0
