Sample	Cluster
TSC001	2
TSC003	1
TSC005	2
TSC008	2
TSC013	7
TSC016	2
TSC020	2
TSC021	0
TSC025	0
TSC027	1
TSC031	7
TSC036	7
TSC045	7
TSC056	1
TSC060	1
TSC062	0
TSC065	0
TSC068	5
TSC070	7
TSC071	7
TSC073	7
TSC078	5
TSC085	7
TSC089	4
TSC092	7
TSC102	7
TSC110	7
TSC117	7
TSC126	7
TSC135	1
TSC140	4
TSC141	3
TSC145	6
TSC147	4
TSC148	2
TSC149	4
TSC152	7
TSC153	4
TSC156	4
TSC159	4
TSC163	4
TSC167	4
TSC170	4
TSC173	4
TSC184	4
TSC191	4
TSC199	6
TSC207	4
TSC210	4
TSC213	0
TSC216	6
TSC219	4
TSC222	4
TSC223	4
TSC224	1
TSC227	1
TSC229	4
TSC231	1
TSC233	1
TSC235	1
TSC237	1
TSC239	1
TSC242	1
TSC245	3
TSC248	3
TSC251	3
TSC254	6
TSC257	3
TSC259	3
TSC261	3
TSC264	4
TSC265	3
TSC267	3
TSC268	4
TSC270	3
TSC272	3
TSC273	4
TSC274	3
TSC276	6
TSC280	3
TSC281	3
TSC282	6
TSC285	3
