Samples	M0_srf_kmeans_3	M0_srf_kmeans_4	M0_srf_kmeans_5	M0_srf_kmeans_6	M0_srf_kmeans_7	M0_srf_kmeans_8	M1_srf_kmeans_3	M1_srf_kmeans_4	M1_srf_kmeans_5	M1_srf_kmeans_6	M1_srf_kmeans_7	M1_srf_kmeans_8	M4_srf_kmeans_3	M4_srf_kmeans_4	M4_srf_kmeans_5	M4_srf_kmeans_6	M4_srf_kmeans_7	M4_srf_kmeans_8	guidi_srf_kmeans_3	guidi_srf_kmeans_4	guidi_srf_kmeans_5	guidi_srf_kmeans_6	guidi_srf_kmeans_7	guidi_srf_kmeans_8	salazar_srf_kmeans_3	salazar_srf_kmeans_4	salazar_srf_kmeans_5	salazar_srf_kmeans_6	salazar_srf_kmeans_7	salazar_srf_kmeans_8	stress_srf_kmeans_3	stress_srf_kmeans_4	stress_srf_kmeans_5	stress_srf_kmeans_6	stress_srf_kmeans_7	stress_srf_kmeans_8
TSC149	2	1	1	5	3	3	2	3	1	2	0	1	1	1	1	2	1	0	2	0	0	4	0	7	1	1	1	1	6	0	1	0	0	0	6	4
TSC152	1	2	4	3	4	6	1	1	4	3	4	3	0	3	2	0	6	1	1	0	1	4	0	7	0	3	0	0	1	5	1	0	0	0	1	7
TSC153	1	1	0	4	3	1	1	0	0	2	6	1	0	0	3	4	5	5	2	2	2	5	2	0	0	3	0	0	0	5	1	3	3	4	6	4
TSC156	2	0	3	5	3	3	2	3	3	5	1	5	1	1	1	2	1	0	2	1	3	0	1	6	1	1	1	1	6	0	1	0	0	4	6	4
TSC159	1	1	1	0	0	1	1	1	1	2	0	1	0	2	1	2	1	0	1	0	0	4	0	7	0	3	0	0	1	5	1	0	0	0	6	4
TSC163	1	2	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	3	1	0	0	0	6	4
TSC167	1	2	1	0	0	1	1	1	1	2	0	3	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	1	5	1	0	0	0	6	4
TSC170	1	1	1	0	0	1	1	1	1	2	0	1	0	2	1	2	1	0	1	0	0	4	0	7	1	1	1	1	1	5	1	0	0	0	6	4
TSC173	1	1	1	0	0	1	1	1	1	2	0	1	0	0	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	5	1	3	3	4	6	4
TSC184	1	2	4	0	4	6	1	1	1	3	0	3	0	3	2	0	6	4	1	0	0	4	0	7	0	3	0	0	1	5	1	0	0	0	1	4
TSC191	1	2	4	3	4	6	1	1	4	3	4	3	2	3	0	3	3	1	1	0	1	2	6	1	0	3	0	0	0	3	1	0	0	0	1	4
TSC199	2	0	3	1	3	3	2	3	3	5	1	5	1	1	4	1	2	7	2	1	3	0	1	6	1	1	4	5	4	6	0	1	4	5	5	6
TSC207	1	1	1	5	3	1	1	1	1	2	0	1	0	2	1	2	1	0	1	0	0	4	0	7	1	1	1	1	1	5	0	1	4	1	6	4
TSC210	1	2	4	3	4	6	1	1	4	3	4	3	2	3	0	3	3	1	1	0	1	2	6	1	1	1	1	1	1	1	1	0	0	0	1	4
TSC213	1	1	1	0	0	1	1	1	1	2	0	1	0	0	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	3	2	3	2	4	3	0
TSC216	2	0	3	1	1	0	2	3	3	5	1	2	1	1	4	1	2	6	2	1	3	0	1	6	1	1	1	1	6	0	0	1	4	5	5	6
TSC219	1	1	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	1	1	1	1	1	5	1	0	0	0	6	4
TSC222	1	1	4	4	0	1	1	1	1	2	0	1	0	0	2	0	6	4	1	0	0	5	0	7	0	3	0	0	0	5	1	0	0	4	6	4
TSC223	1	2	1	0	0	1	1	1	1	3	0	3	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	3	1	0	0	0	6	4
TSC224	1	1	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	3	2	2	2	2	0	1
TSC227	1	1	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	3	0	5	2	2	2	2	0	1
TSC229	1	2	1	0	0	1	1	1	1	2	0	1	2	3	2	0	3	1	1	0	0	4	0	7	0	3	0	0	0	3	1	0	0	0	6	4
TSC231	1	2	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	0	3	3	5	4	2	2	2	2	0	1
TSC233	1	2	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	3	2	2	2	2	0	1
TSC235	1	2	1	0	0	6	1	1	1	3	0	3	0	2	2	0	6	4	1	0	1	4	0	7	0	3	0	3	0	3	2	2	2	2	0	1
TSC237	1	2	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	5	2	2	2	2	0	1
TSC239	1	1	1	0	0	1	1	1	1	2	0	1	0	2	1	2	1	0	1	0	0	4	0	7	0	3	0	0	0	3	2	2	2	2	0	1
TSC242	1	2	1	0	0	1	1	1	1	2	0	1	0	2	2	0	6	4	1	0	0	4	0	7	0	3	0	0	0	5	2	2	2	2	0	1
TSC245	0	3	2	5	2	2	0	2	2	0	2	7	0	2	1	2	1	0	0	3	4	1	3	5	0	0	3	4	5	7	0	1	4	1	4	3
TSC248	0	3	2	5	2	2	0	2	2	0	5	7	0	2	1	2	1	0	0	3	4	1	3	5	1	1	1	1	6	5	0	1	4	1	4	3
TSC251	0	3	2	2	5	7	0	2	2	4	3	0	0	2	2	5	4	3	0	3	4	1	4	2	1	0	3	4	5	7	0	1	4	1	4	3
TSC254	0	3	2	2	5	7	0	2	2	4	3	0	0	2	1	5	4	3	0	3	4	1	4	2	1	0	3	4	3	7	0	1	4	1	4	6
TSC257	0	3	2	2	5	5	0	2	2	0	2	4	2	3	0	3	3	2	0	3	4	1	5	3	1	0	3	4	3	7	0	1	4	1	4	3
TSC259	0	3	2	2	5	7	0	2	2	4	3	7	0	2	2	5	4	3	0	3	4	1	4	2	1	0	3	4	3	7	0	1	4	1	4	3
TSC261	0	3	2	5	2	2	0	2	2	0	2	7	0	2	2	5	4	3	0	3	4	1	5	3	1	0	3	3	5	4	0	1	4	1	4	3
TSC264	1	2	1	0	0	5	1	1	1	3	2	4	2	3	0	3	3	2	1	0	1	2	5	1	0	3	0	0	0	5	1	0	0	0	1	4
TSC265	0	3	2	5	2	2	0	2	2	0	2	7	0	2	2	5	4	3	0	3	4	1	3	5	1	0	3	4	5	7	0	1	4	1	4	3
TSC267	0	3	1	5	2	2	0	2	1	0	2	7	0	2	1	2	1	0	0	0	0	4	0	5	0	0	3	3	5	3	0	1	4	1	4	3
TSC268	1	2	1	0	0	5	1	1	1	0	2	4	2	3	2	5	3	1	1	0	0	4	5	3	0	3	0	0	0	3	1	0	0	0	1	4
TSC270	0	3	1	5	2	5	0	2	1	0	2	4	0	2	2	5	4	3	0	3	4	1	3	5	1	1	1	1	6	0	0	1	4	1	4	3
TSC272	0	3	2	2	5	5	0	2	2	0	2	4	2	3	0	3	3	2	0	3	4	1	5	3	1	0	3	4	5	7	0	2	2	2	4	3
TSC273	1	2	1	0	0	5	1	1	1	0	2	4	2	3	2	5	4	3	1	0	0	4	5	1	0	0	3	4	0	7	1	0	0	0	1	4
TSC274	0	3	2	2	5	7	0	2	2	4	3	0	0	2	2	5	4	3	0	3	4	1	4	2	1	0	3	4	3	7	0	1	4	1	4	3
TSC276	0	3	2	2	5	7	0	2	2	4	3	0	0	2	2	5	4	3	0	3	4	1	4	2	1	0	3	4	3	7	0	1	4	1	4	6
TSC280	0	3	2	5	2	2	0	2	2	4	5	7	0	2	1	2	1	0	0	3	4	1	3	5	1	0	3	4	5	7	0	1	4	1	4	3
TSC281	0	3	1	0	0	5	1	2	1	0	2	4	2	3	0	3	3	2	0	3	4	1	5	3	0	0	3	4	0	7	1	0	0	0	1	3
TSC282	0	3	2	5	2	2	0	2	2	4	5	7	0	2	1	2	1	0	0	3	4	1	3	2	1	0	3	1	6	0	0	1	4	1	4	6
TSC285	0	3	2	2	5	5	0	2	2	0	2	4	2	3	0	3	3	2	0	3	4	1	5	3	2	2	2	2	2	2	1	0	0	0	4	3
