Sample	Cluster
TSC001	1
TSC003	3
TSC005	1
TSC008	2
TSC013	3
TSC016	2
TSC020	2
TSC021	5
TSC025	5
TSC027	3
TSC031	3
TSC036	3
TSC045	3
TSC056	6
TSC060	6
TSC062	5
TSC065	5
TSC068	5
TSC070	3
TSC071	3
TSC073	3
TSC078	2
TSC085	3
TSC089	6
TSC092	0
TSC102	0
TSC110	0
TSC117	3
TSC126	0
TSC135	6
TSC140	3
TSC141	4
TSC145	1
TSC147	1
TSC148	2
TSC149	1
TSC152	6
TSC153	5
TSC156	1
TSC159	1
TSC163	6
TSC167	6
TSC170	1
TSC173	6
TSC184	6
TSC191	3
TSC199	2
TSC207	1
TSC210	3
TSC213	6
TSC216	2
TSC219	6
TSC222	6
TSC223	6
TSC224	6
TSC227	6
TSC229	3
TSC231	6
TSC233	6
TSC235	6
TSC237	6
TSC239	1
TSC242	6
TSC245	1
TSC248	1
TSC251	4
TSC254	4
TSC257	3
TSC259	4
TSC261	4
TSC264	3
TSC265	4
TSC267	1
TSC268	3
TSC270	4
TSC272	3
TSC273	4
TSC274	4
TSC276	4
TSC280	1
TSC281	3
TSC282	1
TSC285	3
